date,value
2016-07-15,-40
2016-07-18,28
2016-07-19,-43
2016-07-20,139
2016-07-21,-67
2016-07-22,245
2016-07-25,169
2016-07-26,266
2016-07-27,96
2016-07-28,166
2016-07-29,212
2016-08-01,191
2016-08-02,-123
2016-08-03,-4
2016-08-04,47
2016-08-05,310
2016-08-08,228
2016-08-09,281
2016-08-10,214
2016-08-11,429
2016-08-12,341
2016-08-15,498
2016-08-16,193
2016-08-17,290
2016-08-18,439
2016-08-19,448
2016-08-22,497
2016-08-23,613
2016-08-24,360
2016-08-25,468
2016-08-26,374
2016-08-29,699
2016-08-30,611
2016-08-31,502
2016-09-01,507
2016-09-02,786
2016-09-06,830
2016-09-07,857
2016-09-08,717
2016-09-09,273
2016-09-12,707
2016-09-13,285
2016-09-14,220
2016-09-15,624
2016-09-16,452
2016-09-19,627
2016-09-20,597
2016-09-21,1005
2016-09-22,1303
2016-09-23,1070
2016-09-26,784
2016-09-27,1015
2016-09-28,1178
2016-09-29,849
2016-09-30,1119
2016-10-03,927
2016-10-04,702
2016-10-05,822
2016-10-06,868
2016-10-07,630
2016-10-10,853
2016-10-11,428
2016-10-12,559
2016-10-13,425
2016-10-14,439
2016-10-17,300
2016-10-18,582
2016-10-19,691
2016-10-20,560
2016-10-21,458
2016-10-24,711
2016-10-25,537
2016-10-26,520
2016-10-27,319
2016-10-28,387
2016-10-31,505
2016-11-01,211
2016-11-02,-27
2016-11-03,-80
2016-11-04,-92
2016-11-07,343
2016-11-08,537
2016-11-09,656
2016-11-10,696
2016-11-11,749
2016-11-14,880
2016-11-15,1057
2016-11-16,961
2016-11-17,1114
2016-11-18,1046
2016-11-21,1286
2016-11-22,1386
2016-11-23,1471
2016-11-25,1732
2016-11-28,1518
2016-11-29,1605
2016-11-30,1458
2016-12-01,1330
2016-12-02,1376
2016-12-05,1604
2016-12-06,1777
2016-12-07,2116
2016-12-08,2269
2016-12-09,2358
2016-12-12,2290
2016-12-13,2464
2016-12-14,2157
2016-12-15,2335
2016-12-16,2254
2016-12-19,2351
2016-12-20,2531
2016-12-21,2349
2016-12-22,2240
2016-12-23,2391
2016-12-27,2600
2016-12-28,2163
2016-12-29,2219
2016-12-30,1960
2017-01-03,2187
2017-01-04,2513
2017-01-05,2418
2017-01-06,2532
2017-01-09,2346
2017-01-10,2404
2017-01-11,2561
2017-01-12,2429
2017-01-13,2564
2017-01-17,2462
2017-01-18,2635
2017-01-19,2398
2017-01-20,2595
2017-01-23,2447
2017-01-24,2741
2017-01-25,2980
2017-01-26,2883
2017-01-27,2817
2017-01-30,2571
2017-01-31,2579
2017-02-01,2492
2017-02-02,2557
2017-02-03,2873
2017-02-06,2753
2017-02-07,2796
2017-02-08,2876
2017-02-09,3123
2017-02-10,3330
2017-02-13,3551
2017-02-14,3606
2017-02-15,3814
2017-02-16,3783
2017-02-17,3893
2017-02-21,4177
2017-02-22,4079
2017-02-23,4065
2017-02-24,4222
2017-02-27,4294
2017-02-28,4125
2017-03-01,4433
2017-03-02,4193
2017-03-03,4206
2017-03-06,3976
2017-03-07,3788
2017-03-08,3721
2017-03-09,3661
2017-03-10,3866
2017-03-13,3993
2017-03-14,3768
2017-03-15,4125
2017-03-16,4027
2017-03-17,4092
2017-03-20,3932
2017-03-21,3588
2017-03-22,3771
2017-03-23,3765
2017-03-24,3711
2017-03-27,3645
2017-03-28,3930
2017-03-29,3906
2017-03-30,4033
2017-03-31,3980
2017-04-03,3794
2017-04-04,3787
2017-04-05,3621
2017-04-06,3823
2017-04-07,3717
2017-04-10,3794
2017-04-11,3791
2017-04-12,3572
2017-04-13,3218
2017-04-17,3624
2017-04-18,3579
2017-04-19,3599
2017-04-20,3868
2017-04-21,3731
2017-04-24,4088
2017-04-25,4322
2017-04-26,4329
2017-04-27,4436
2017-04-28,4242
2017-05-01,4275
2017-05-02,4338
2017-05-03,4239
2017-05-04,4339
2017-05-05,4569
2017-05-08,4409
2017-05-09,4386
2017-05-10,4498
2017-05-11,4353
2017-05-12,4201
