date,value
2006-01-02,101.42
2006-01-03,100.76
2006-01-04,100.23
2006-01-05,100.30
2006-01-06,100.02
2006-01-09,100.18
2006-01-10,100.14
2006-01-11,99.87
2006-01-12,100.06
2006-01-13,99.97
2006-01-16,99.97
2006-01-17,100.24
2006-01-18,100.41
2006-01-19,100.19
2006-01-20,99.90
2006-01-23,99.38
2006-01-24,99.34
2006-01-25,99.35
2006-01-26,99.48
2006-01-27,99.64
2006-01-30,99.71
2006-01-31,99.43
2006-02-01,99.61
2006-02-02,99.79
2006-02-03,100.12
2006-02-06,100.14
2006-02-07,100.18
2006-02-08,100.49
2006-02-09,100.21
2006-02-10,100.32
2006-02-13,100.40
2006-02-14,100.40
2006-02-15,100.45
2006-02-16,100.52
2006-02-17,100.34
2006-02-20,100.34
2006-02-21,100.23
2006-02-22,100.39
2006-02-23,100.20
2006-02-24,100.26
2006-02-27,100.07
2006-02-28,99.77
2006-03-01,99.84
2006-03-02,99.60
2006-03-03,99.70
2006-03-06,99.98
2006-03-07,100.56
2006-03-08,100.86
2006-03-09,100.77
2006-03-10,100.96
2006-03-13,100.86
2006-03-14,100.31
2006-03-15,100.21
2006-03-16,99.90
2006-03-17,99.86
2006-03-20,100.05
2006-03-21,100.47
2006-03-22,100.50
2006-03-23,100.83
2006-03-24,100.78
2006-03-27,100.84
2006-03-28,100.80
2006-03-29,101.05
2006-03-30,100.57
2006-03-31,100.56
2006-04-03,100.62
2006-04-04,100.13
2006-04-05,100.08
2006-04-06,100.16
2006-04-07,100.42
2006-04-10,100.41
2006-04-11,100.29
2006-04-12,100.36
2006-04-13,100.48
2006-04-14,100.47
2006-04-17,99.87
2006-04-18,99.67
2006-04-19,99.35
2006-04-20,99.50
2006-04-21,99.43
2006-04-24,99.12
2006-04-25,98.97
2006-04-26,98.89
2006-04-27,98.51
2006-04-28,98.14
2006-05-01,97.91
2006-05-02,97.66
2006-05-03,97.56
2006-05-04,97.49
2006-05-05,97.26
2006-05-08,97.19
2006-05-09,96.96
2006-05-10,96.64
2006-05-11,96.54
2006-05-12,96.88
2006-05-15,97.36
2006-05-16,97.20
2006-05-17,97.47
2006-05-18,97.70
2006-05-19,97.93
2006-05-22,97.94
2006-05-23,97.70
2006-05-24,98.39
2006-05-25,97.84
2006-05-26,97.90
2006-05-29,97.89
2006-05-30,97.59
2006-05-31,97.77
2006-06-01,97.77
2006-06-02,97.55
2006-06-05,97.37
2006-06-06,98.14
2006-06-07,98.16
2006-06-08,98.93
2006-06-09,98.55
2006-06-12,98.55
2006-06-13,98.92
2006-06-14,98.83
2006-06-15,98.88
2006-06-16,98.91
2006-06-19,99.14
2006-06-20,99.01
2006-06-21,98.55
2006-06-22,99.09
2006-06-23,99.42
2006-06-26,99.36
2006-06-27,99.22
2006-06-28,99.39
2006-06-29,99.22
2006-06-30,98.25
2006-07-03,98.04
2006-07-04,98.02
2006-07-05,98.31
2006-07-06,98.14
2006-07-07,97.75
2006-07-10,97.98
2006-07-11,98.21
2006-07-12,98.52
2006-07-13,98.56
2006-07-14,98.68
2006-07-17,99.08
2006-07-18,99.13
2006-07-19,98.93
2006-07-20,98.60
2006-07-21,98.52
2006-07-24,98.78
2006-07-25,98.94
2006-07-26,98.74
2006-07-27,98.23
2006-07-28,98.05
2006-07-31,98.00
2006-08-01,98.17
2006-08-02,97.94
2006-08-03,98.07
2006-08-04,97.60
2006-08-07,97.51
2006-08-08,97.65
2006-08-09,97.44
2006-08-10,97.89
2006-08-11,97.79
2006-08-14,97.97
2006-08-15,97.80
2006-08-16,97.39
2006-08-17,97.35
2006-08-18,97.76
2006-08-21,97.39
2006-08-22,97.61
2006-08-23,97.57
2006-08-24,97.79
2006-08-25,97.88
2006-08-28,97.85
2006-08-29,97.77
2006-08-30,97.58
2006-08-31,97.64
2006-09-01,97.51
2006-09-04,97.50
2006-09-05,97.44
2006-09-06,97.61
2006-09-07,97.81
2006-09-08,98.21
2006-09-11,98.38
2006-09-12,98.28
2006-09-13,98.18
2006-09-14,98.01
2006-09-15,98.21
2006-09-18,98.13
2006-09-19,98.17
2006-09-20,98.16
2006-09-21,97.95
2006-09-22,97.87
2006-09-25,97.99
2006-09-26,98.06
