date,value
1986-01-15,6953
1986-01-31,13178
1986-02-14,10317
1986-02-28,10081
1986-03-14,14621
1986-03-31,14669
1986-04-15,6493
1986-04-30,17991
1986-05-15,11251
1986-05-30,14331
1986-06-13,9714
1986-06-30,19552
1986-07-15,25150
1986-07-31,17016
1986-08-15,7516
1986-08-29,-7391
1986-09-15,-8580
1986-09-30,6137
1986-10-15,3011
1986-10-31,-9650
1986-11-14,-6376
1986-11-28,-5903
1986-12-15,-5133
1986-12-31,3792
1987-01-15,9264
1987-01-30,5464
1987-02-13,6970
1987-02-27,7544
1987-03-13,7508
1987-03-31,15925
1987-04-15,16273
1987-04-30,14076
1987-05-15,10245
1987-05-29,10211
1987-06-15,6542
1987-06-30,-1234
1987-07-15,-410
1987-07-31,2525
1987-08-14,-1868
1987-08-31,19778
1987-09-15,2129
1987-09-30,988
1987-10-15,11807
1987-10-30,7590
1987-11-13,6465
1987-11-30,8903
1987-12-15,6951
1987-12-31,6895
1988-01-15,2330
1988-01-29,3234
1988-02-12,4572
1988-02-29,3311
1988-03-15,3706
1988-03-31,14140
1988-04-15,9896
1988-04-29,5654
1988-05-13,4956
1988-05-31,-656
1988-06-15,-4490
1988-06-30,-457
1988-07-15,5572
1988-07-29,-1795
1988-08-15,-1073
1988-08-31,-14103
1988-09-15,-7879
1988-09-30,-5782
1988-10-14,5191
1988-10-31,6748
1988-11-15,11532
1988-11-30,9227
1988-12-15,-792
1988-12-30,-6752
1989-01-13,-6716
1989-01-31,-5254
1989-02-15,-185
1989-02-28,-3128
1989-03-15,-18573
1989-03-31,-16706
1989-04-14,-12080
1989-04-28,-11018
1989-05-15,-16140
1989-05-31,-6488
1989-06-15,-860
1989-06-30,-5131
1989-07-14,-5304
1989-07-31,-4128
1989-08-15,-6571
1989-08-31,-16636
1989-09-15,-21004
1989-09-29,-1447
1989-10-13,-5302
1989-10-31,-8362
1989-11-15,-4907
1989-11-30,530
1989-12-15,-7873
1989-12-29,1182
1990-01-15,-8167
1990-01-31,-599
1990-02-15,-4452
1990-02-28,-21185
1990-03-15,-20895
1990-03-30,-7222
1990-04-12,-4893
1990-04-30,-6687
1990-05-15,7533
1990-05-31,6426
1990-06-15,-1796
1990-06-29,-2664
1990-07-13,15044
1990-07-31,5924
1990-08-15,4189
1990-08-31,11110
1990-09-14,8210
1990-09-28,5923
1990-10-15,17139
1990-10-31,15131
1990-11-15,-520
1990-11-30,-353
1990-12-14,-6402
1990-12-31,-13476
1991-01-15,-7403
1991-01-31,1370
1991-02-15,1733
1991-02-28,-5460
1991-03-15,-7558
1991-03-28,-9075
1991-04-15,318
1991-04-30,2027
1991-05-15,2950
1991-05-31,-508
1991-06-14,-10077
1991-06-28,2590
1991-07-15,13792
1991-07-31,-1975
1991-08-15,4901
1991-08-30,-3514
1991-09-16,6574
1991-09-30,9062
1991-10-15,17875
1991-10-31,6090
1991-11-15,11163
1991-11-29,3916
1991-12-13,-269
1991-12-31,6581
1992-01-15,3489
1992-01-31,6457
1992-02-14,4349
1992-02-28,-5639
1992-03-13,-18781
1992-03-31,-13571
1992-04-15,-16093
1992-04-30,-14227
1992-05-15,-4218
1992-05-29,1621
1992-06-15,3463
1992-06-30,-259
1992-07-15,-1159
1992-07-31,-11005
1992-08-14,-6265
1992-08-31,1367
1992-09-15,1623
1992-09-30,6039
1992-10-06,6900
1992-10-13,3655
1992-10-20,5811
1992-10-27,4608
1992-11-03,1625
1992-11-10,-1800
1992-11-17,-4807
1992-11-24,-4451
1992-12-01,-3976
1992-12-08,-5789
1992-12-15,-2827
1992-12-22,41
1992-12-29,-9125
1993-01-05,-11350
1993-01-12,-12893
1993-01-19,-17700
1993-01-26,-6056
1993-02-02,-4169
1993-02-09,8417
1993-02-16,16697
1993-02-23,20356
1993-03-02,18963
1993-03-09,17362
1993-03-16,12526
1993-03-23,17056
1993-03-30,9928
1993-04-06,13184
1993-04-13,22368
1993-04-20,22530
1993-04-27,18877
1993-05-04,19533
1993-05-11,17386
1993-05-18,21047
1993-05-25,26486
1993-06-01,25759
1993-06-08,26461
1993-06-15,29193
1993-06-22,13911
1993-06-29,16504
1993-07-06,13785
1993-07-13,12080
1993-07-20,10736
1993-07-27,20910
1993-08-03,25585
1993-08-10,20211
1993-08-17,24637
1993-08-24,17802
1993-08-31,15127
1993-09-07,5292
1993-09-14,-7820
1993-09-21,-13672
1993-09-28,-9553
1993-10-05,-12979
1993-10-12,-13249
1993-10-19,-33048
1993-10-26,-40094
1993-11-02,-32794
1993-11-09,-30580
1993-11-16,-10055
1993-11-23,-14803
1993-11-30,-22632
1993-12-07,-19772
1993-12-14,-25864
1993-12-21,-42727
1993-12-28,-43099
1994-01-04,-22270
1994-01-11,-20591
1994-01-18,-18610
1994-01-25,-32963
1994-02-01,-9519
1994-02-08,-6366
1994-02-15,11167
1994-02-22,13200
1994-03-01,8528
1994-03-08,3134
1994-03-15,-1969
1994-03-22,-8979
1994-03-29,-6055
1994-04-05,-407
1994-04-12,-3126
1994-04-19,-2468
1994-04-26,-311
1994-05-03,1352
1994-05-10,-8747
1994-05-17,-10603
1994-05-24,-14274
1994-05-31,-14113
1994-06-07,-18003
1994-06-14,-9464
1994-06-21,-3330
1994-06-28,-3797
1994-07-05,2183
1994-07-12,716
1994-07-19,-4079
1994-07-26,-3506
1994-08-02,-8981
1994-08-09,-13317
1994-08-16,-11654
1994-08-23,-8683
1994-08-30,-11226
1994-09-06,-10599
1994-09-13,-10096
1994-09-20,-1452
1994-09-27,-2596
1994-10-04,-7539
1994-10-11,-13419
1994-10-18,-7555
1994-10-25,-3429
1994-11-01,-5109
1994-11-08,-10265
1994-11-15,-17414
1994-11-22,-23805
1994-11-29,-25277
1994-12-06,-35724
1994-12-13,-37538
1994-12-20,-30500
1994-12-27,-30649
1995-01-03,-33724
1995-01-10,-40300
1995-01-17,-24181
1995-01-24,-24894
1995-01-31,-26239
1995-02-07,-27510
1995-02-14,-23663
1995-02-21,-3808
1995-02-28,-870
1995-03-07,2196
1995-03-14,5165
1995-03-21,7276
1995-03-28,4997
1995-04-04,5627
1995-04-11,4767
1995-04-18,5150
1995-04-25,4805
1995-05-02,3673
1995-05-09,768
1995-05-16,-3939
1995-05-23,-7684
1995-05-30,-2379
1995-06-06,-3774
1995-06-13,-4820
1995-06-20,-5517
1995-06-27,-3876
1995-07-03,-9046
1995-07-11,-10926
1995-07-18,-12258
1995-07-25,-13666
1995-08-01,-12959
1995-08-08,-14584
1995-08-15,-16718
1995-08-22,-15549
1995-08-29,-14134
1995-09-05,-15342
1995-09-12,-18439
1995-09-19,-18410
1995-09-26,-20211
1995-10-03,-20961
1995-10-10,-20783
1995-10-17,-21164
1995-10-24,-20047
1995-10-31,-22212
1995-11-07,-25063
1995-11-14,-23049
1995-11-21,-20664
1995-11-28,-19132
1995-12-05,-18764
1995-12-12,-19274
1995-12-19,-23044
1995-12-26,-28074
1996-01-02,-32299
1996-01-09,-33256
1996-01-16,-36988
1996-01-23,-35798
1996-01-30,-37035
1996-02-06,-30935
1996-02-13,-30578
1996-02-20,-28625
1996-02-27,-20669
1996-03-05,-19845
1996-03-12,-19712
1996-03-19,-24358
1996-03-26,-29664
1996-04-02,-33900
1996-04-09,-35695
1996-04-16,-32574
1996-04-23,-21926
1996-04-30,-9187
1996-05-07,-8511
1996-05-14,-10024
1996-05-21,-15506
1996-05-28,-23871
1996-06-04,-30082
1996-06-11,-30748
1996-06-18,-29185
1996-06-25,-28056
1996-07-02,-34188
1996-07-09,-34251
1996-07-16,-30346
1996-07-23,-23681
1996-07-30,-24368
1996-08-06,-9298
1996-08-13,-12136
1996-08-20,-12895
1996-08-27,-17125
