date,value,meeting_date
2026-01-28,3.7184,2026-03-18
2026-01-29,3.7166,2026-03-18
2026-01-30,3.7166,2026-03-18
2026-02-02,3.7239,2026-03-18
2026-02-03,3.7264,2026-03-18
2026-02-04,3.7264,2026-03-18
2026-02-05,3.6919,2026-03-18
2026-02-06,3.7041,2026-03-18
2026-02-09,3.7069,2026-03-18
2026-02-10,3.6997,2026-03-18
2026-02-11,3.7339,2026-03-18
2026-02-12,3.7291,2026-03-18
2026-02-13,3.7269,2026-03-18
2026-02-17,3.7316,2026-03-18
2026-02-18,3.7339,2026-03-18
2026-02-19,3.7364,2026-03-18
2026-02-20,3.7412,2026-03-18
2026-02-23,3.7362,2026-03-18
2026-02-24,3.7437,2026-03-18
2026-02-25,3.7410,2026-03-18
2026-02-26,3.7387,2026-03-18
2026-02-27,3.7316,2026-03-18
2026-03-02,3.7410,2026-03-18
2026-03-03,3.7410,2026-03-18
2026-03-04,3.7459,2026-03-18
2026-03-05,3.7407,2026-03-18
2026-03-06,3.7412,2026-03-18
2026-03-09,3.7459,2026-03-18
2026-03-10,3.7460,2026-03-18
2026-03-11,3.7459,2026-03-18
2026-03-12,3.7503,2026-03-18
2026-03-13,3.7453,2026-03-18
2026-03-16,3.7452,2026-03-18
2026-03-17,3.7502,2026-03-18
2026-03-18,3.7500,2026-04-29
2026-03-19,3.7655,2026-04-29
2026-03-20,3.7810,2026-04-29
2026-03-23,3.7655,2026-04-29
2026-03-24,3.7707,2026-04-29
2026-03-25,3.7603,2026-04-29
2026-03-26,3.7655,2026-04-29
2026-03-27,3.7603,2026-04-29
2026-03-30,3.7552,2026-04-29
2026-03-31,3.7526,2026-04-29
2026-04-01,3.7526,2026-04-29
2026-04-02,3.7500,2026-04-29
2026-04-06,3.7526,2026-04-29
2026-04-07,3.7552,2026-04-29
2026-04-08,3.7526,2026-04-29
2026-04-09,3.7552,2026-04-29
2026-04-10,3.7552,2026-04-29
2026-04-13,3.7526,2026-04-29
2026-04-14,3.7526,2026-04-29
2026-04-15,3.7526,2026-04-29
2026-04-16,3.7500,2026-04-29
2026-04-17,3.7526,2026-04-29
2026-04-20,3.7500,2026-04-29
2026-04-21,3.7500,2026-04-29
2026-04-22,3.7500,2026-04-29
2026-04-23,3.7526,2026-04-29
2026-04-24,3.7526,2026-04-29
2026-04-27,3.7500,2026-04-29
2026-04-28,3.7500,2026-04-29
2026-04-29,3.7475,2026-06-17
2026-04-30,3.7360,2026-06-17
2026-05-01,3.7332,2026-06-17
2026-05-04,3.7353,2026-06-17
2026-05-05,3.7360,2026-06-17
2026-05-06,3.7364,2026-06-17
2026-05-07,3.7410,2026-06-17
2026-05-08,3.7335,2026-06-17
2026-05-11,3.7428,2026-06-17
2026-05-12,3.7453,2026-06-17
2026-05-13,3.7475,2026-06-17
2026-05-14,3.7447,2026-06-17
2026-05-15,3.7468,2026-06-17
2026-05-18,3.7515,2026-06-17
2026-05-19,3.7476,2026-06-17
2026-05-20,3.7433,2026-06-17
2026-05-21,3.7554,2026-06-17
2026-05-22,3.7601,2026-06-17
2026-05-26,3.7533,2026-06-17
2026-05-27,3.7511,2026-06-17
2026-05-28,3.7515,2026-06-17
2026-05-29,3.7490,2026-06-17
2026-06-01,3.7490,2026-06-17
2026-06-02,3.7440,2026-06-17
2026-06-03,3.7433,2026-06-17
2026-06-04,3.7386,2026-06-17
2026-06-05,3.7429,2026-06-17
2026-06-08,3.7426,2026-06-17
2026-06-09,3.7479,2026-06-17
2026-06-10,3.7433,2026-06-17
2026-06-11,3.7436,2026-06-17
2026-06-12,3.7436,2026-06-17
2026-06-15,3.7490,2026-06-17
2026-06-16,3.7486,2026-06-17
2026-06-17,3.8250,2026-07-29
2026-06-18,3.8462,2026-07-29
2026-06-22,3.8409,2026-07-29
2026-06-23,3.8409,2026-07-29
2026-06-24,3.8355,2026-07-29
2026-06-25,3.8302,2026-07-29
2026-06-26,3.8248,2026-07-29
2026-06-29,3.8248,2026-07-29
2026-06-30,3.8328,2026-07-29
2026-07-01,3.8222,2026-07-29
2026-07-02,3.7954,2026-07-29
2026-07-06,3.8141,2026-07-29
2026-07-07,3.8168,2026-07-29
2026-07-08,3.8275,2026-07-29
2026-07-09,3.8115,2026-07-29
2026-07-10,3.8355,2026-07-29
2026-07-13,3.8542,2026-07-29
2026-07-14,3.7901,2026-07-29
2026-07-15,3.7767,2026-07-29
2026-07-16,3.7794,2026-07-29
2026-07-17,3.7821,2026-07-29
2026-07-20,3.7901,2026-07-29
2026-07-21,3.8141,2026-07-29
2026-07-22,3.8355,2026-07-29
2026-07-23,3.8355,2026-07-29
2026-07-24,3.8435,2026-07-29
2026-07-27,3.8409,2026-07-29
2026-07-28,3.8275,2026-07-29
2026-07-29,3.9130,2026-09-16
