date,value
1998-01-31,28.62
1998-02-28,36.04
1998-03-31,39.78
1998-04-30,42.54
1998-05-31,35.28
1998-06-30,29.88
1998-07-31,32.94
1998-08-31,25.30
1998-09-30,9.53
1998-10-31,2.91
1998-11-30,12.02
1998-12-31,13.01
1999-01-31,22.13
1999-02-28,15.27
1999-03-31,13.43
1999-04-30,25.75
1999-05-31,26.39
1999-06-30,21.60
1999-07-31,17.72
1999-08-31,20.36
1999-09-30,31.27
1999-10-31,40.36
1999-11-30,46.81
1999-12-31,62.75
2000-01-31,60.43
2000-02-29,74.46
2000-03-31,80.45
2000-04-30,45.78
2000-05-31,35.23
2000-06-30,40.90
2000-07-31,39.17
2000-08-31,41.33
2000-09-30,42.41
2000-10-31,29.19
2000-11-30,8.98
2000-12-31,-13.05
2001-01-31,-19.86
2001-02-28,-30.02
2001-03-31,-41.72
2001-04-30,-34.47
2001-05-31,-28.74
2001-06-30,-32.10
2001-07-31,-34.14
2001-08-31,-36.15
2001-09-30,-41.55
2001-10-31,-39.29
2001-11-30,-32.98
2001-12-31,-23.72
2002-01-31,-22.90
2002-02-28,-22.10
2002-03-31,-8.41
2002-04-30,-9.67
2002-05-31,-13.79
2002-06-30,-14.26
2002-07-31,-17.14
2002-08-31,-17.82
2002-09-30,-13.82
2002-10-31,-9.00
2002-11-30,-12.52
2002-12-31,-13.10
2003-01-31,-12.13
2003-02-28,-9.30
2003-03-31,-9.88
2003-04-30,-9.95
2003-05-31,-2.58
2003-06-30,9.29
2003-07-31,21.21
2003-08-31,20.16
2003-09-30,25.78
2003-10-31,26.53
2003-11-30,30.91
2003-12-31,30.12
2004-01-31,33.98
2004-02-29,35.53
2004-03-31,32.71
2004-04-30,38.78
2004-05-31,26.10
2004-06-30,15.28
2004-07-31,7.69
2004-08-31,12.34
2004-09-30,13.13
2004-10-31,12.87
2004-11-30,15.57
2004-12-31,19.90
2005-01-31,16.20
2005-02-28,17.17
2005-03-31,18.50
2005-04-30,9.39
2005-05-31,13.19
2005-06-30,15.55
2005-07-31,24.35
2005-08-31,23.20
2005-09-30,26.33
2005-10-31,21.15
2005-11-30,15.11
2005-12-31,12.19
2006-01-31,16.21
2006-02-28,11.85
2006-03-31,14.32
2006-04-30,21.94
2006-05-31,16.50
2006-06-30,12.20
2006-07-31,9.60
2006-08-31,7.76
2006-09-30,6.99
2006-10-31,11.61
2006-11-30,21.41
2006-12-31,24.25
2007-01-31,21.78
2007-02-28,28.67
2007-03-31,22.50
2007-04-30,29.01
2007-05-31,49.57
2007-06-30,62.41
2007-07-31,62.65
2007-08-31,45.36
2007-09-30,37.18
2007-10-31,40.82
2007-11-30,28.72
2007-12-31,17.15
2008-01-31,17.36
2008-02-29,17.41
2008-03-31,9.97
2008-04-30,-2.86
2008-05-31,-10.65
2008-06-30,-15.07
2008-07-31,-17.56
2008-08-31,-10.39
2008-09-30,-3.72
2008-10-31,-26.37
2008-11-30,-40.11
2008-12-31,-40.84
2009-01-31,-43.92
2009-02-28,-47.05
2009-03-31,-41.63
2009-04-30,-37.40
2009-05-31,-37.24
2009-06-30,-37.40
2009-07-31,-33.37
2009-08-31,-27.27
2009-09-30,-26.50
2009-10-31,-4.38
2009-11-30,10.40
2009-12-31,24.84
2010-01-31,29.97
2010-02-28,32.06
2010-03-31,36.20
2010-04-30,42.08
2010-05-31,25.26
2010-06-30,21.21
2010-07-31,16.93
2010-08-31,13.60
2010-09-30,13.55
2010-10-31,14.33
2010-11-30,23.25
2010-12-31,19.54
2011-01-31,22.67
2011-02-28,32.36
2011-03-31,27.94
2011-04-30,22.11
2011-05-31,32.46
2011-06-30,31.18
2011-07-31,28.83
2011-08-31,15.09
2011-09-30,3.37
2011-10-31,4.48
2011-11-30,-1.75
2011-12-31,-3.85
2012-01-31,-5.21
2012-02-29,-7.44
2012-03-31,-6.92
2012-04-30,-7.13
2012-05-31,-11.41
2012-06-30,-7.04
2012-07-31,-9.01
2012-08-31,3.73
2012-09-30,13.71
2012-10-31,7.98
2012-11-30,15.63
2012-12-31,17.70
2013-01-31,25.26
2013-02-28,20.84
2013-03-31,22.10
2013-04-30,21.94
2013-05-31,27.43
2013-06-30,27.02
2013-07-31,31.44
2013-08-31,29.35
2013-09-30,27.63
2013-10-31,30.00
2013-11-30,29.86
2013-12-31,34.79
2014-01-31,25.62
2014-02-28,28.63
2014-03-31,20.80
2014-04-30,16.28
2014-05-31,18.37
2014-06-30,23.20
2014-07-31,21.01
2014-08-31,20.89
2014-09-30,16.41
2014-10-31,10.76
2014-11-30,8.76
2014-12-31,3.61
2015-01-31,-0.34
2015-02-28,0.56
2015-03-31,6.17
2015-04-30,15.73
2015-05-31,13.95
2015-06-30,9.10
2015-07-31,6.43
2015-08-31,2.99
2015-09-30,-1.31
2015-10-31,4.27
2015-11-30,3.84
2015-12-31,1.55
2016-01-31,0.27
2016-02-29,-6.09
2016-03-31,-6.59
2016-04-30,-9.96
2016-05-31,-9.56
2016-06-30,-11.01
2016-07-31,-3.30
2016-08-31,-1.12
2016-09-30,8.71
2016-10-31,1.91
2016-11-30,4.77
2016-12-31,5.15
2017-01-31,13.62
2017-02-28,19.93
2017-03-31,19.38
2017-04-30,19.31
2017-05-31,18.96
2017-06-30,19.81
2017-07-31,15.82
2017-08-31,16.94
2017-09-30,12.16
2017-10-31,16.05
2017-11-30,16.20
2017-12-31,21.43
2018-01-31,20.26
2018-02-28,13.44
2018-03-31,11.70
2018-04-30,10.41
2018-05-31,14.79
2018-06-30,10.73
2018-07-31,9.82
2018-08-31,9.36
2018-09-30,6.89
2018-10-31,-0.03
2018-11-30,-5.55
2018-12-31,-13.77
2019-01-31,-14.61
2019-02-28,-9.90
2019-03-31,-11.04
2019-04-30,-9.75
2019-05-31,-14.98
2019-06-30,-7.83
2019-07-31,-7.76
2019-08-31,-13.41
2019-09-30,-14.23
2019-10-31,-8.73
2019-11-30,-4.91
2019-12-31,4.50
2020-01-31,-1.16
2020-02-29,-6.21
2020-03-31,-16.50
2020-04-30,-10.88
2020-05-31,-2.85
2020-06-30,-1.95
2020-07-31,1.94
2020-08-31,14.28
2020-09-30,17.70
2020-10-31,18.88
2020-11-30,28.15
2020-12-31,34.32
2021-01-31,42.15
2021-02-28,49.26
2021-03-31,71.62
2021-04-30,61.46
2021-05-31,55.94
2021-06-30,50.87
2021-07-31,37.55
2021-08-31,41.21
2021-09-30,38.02
2021-10-31,41.95
2021-11-30,27.21
2021-12-31,16.96
2022-01-31,3.89
2022-02-28,2.65
2022-03-31,-2.78
