date,value
2007-04-11,0.622275
2007-04-12,0.622088
2007-04-13,0.622012
2007-04-16,0.621095
2007-04-17,0.618173
2007-04-18,0.616934
2007-04-19,0.619141
2007-04-20,0.619458
2007-04-23,0.618545
2007-04-24,0.621608
2007-04-25,0.622927
2007-04-26,0.625856
2007-04-27,0.625856
2007-04-30,0.623209
2007-05-01,0.623256
2007-05-02,0.623771
2007-05-03,0.624509
2007-05-04,0.623697
2007-05-07,0.623113
2007-05-08,0.623586
2007-05-09,0.623959
2007-05-10,0.624627
2007-05-11,0.626265
2007-05-14,0.627115
2007-05-15,0.626715
2007-05-16,0.628758
2007-05-17,0.630258
2007-05-18,0.632277
2007-05-21,0.632029
2007-05-22,0.633860
2007-05-23,0.634619
2007-05-24,0.633947
2007-05-25,0.635543
2007-05-29,0.634343
2007-05-30,0.635162
2007-05-31,0.634374
2007-06-01,0.637035
2007-06-04,0.636560
2007-06-05,0.637693
2007-06-06,0.636590
2007-06-07,0.640014
2007-06-08,0.637107
2007-06-11,0.637427
2007-06-12,0.638718
2007-06-13,0.637747
2007-06-14,0.638079
2007-06-15,0.635172
2007-06-18,0.635857
2007-06-19,0.633573
2007-06-20,0.629992
2007-06-21,0.631942
2007-06-22,0.631279
2007-06-25,0.625590
2007-06-26,0.627263
2007-06-27,0.625148
2007-06-28,0.622244
2007-06-29,0.617263
2007-07-02,0.621153
2007-07-03,0.621842
2007-07-05,0.623058
2007-07-06,0.625214
2007-07-09,0.624858
2007-07-10,0.618963
2007-07-11,0.616467
2007-07-12,0.620071
2007-07-13,0.621255
2007-07-16,0.619039
2007-07-17,0.621076
2007-07-18,0.614228
2007-07-19,0.614973
2007-07-20,0.610375
2007-07-23,0.609268
2007-07-24,0.604120
2007-07-25,0.597576
2007-07-26,0.584476
2007-07-27,0.573605
2007-07-30,0.580639
2007-07-31,0.580217
2007-08-01,0.580626
2007-08-02,0.583510
2007-08-03,0.579768
2007-08-06,0.580832
2007-08-07,0.585044
2007-08-08,0.596074
2007-08-09,0.592137
2007-08-10,0.591798
2007-08-13,0.595190
2007-08-14,0.588415
2007-08-15,0.590634
2007-08-16,0.587582
2007-08-17,0.593106
2007-08-20,0.586185
2007-08-21,0.580645
2007-08-22,0.587033
2007-08-23,0.590379
2007-08-24,0.591648
2007-08-27,0.593860
2007-08-28,0.588764
2007-08-29,0.593376
2007-08-30,0.591645
2007-08-31,0.596848
2007-09-04,0.602120
2007-09-05,0.598636
2007-09-06,0.599565
2007-09-07,0.586444
2007-09-10,0.587636
2007-09-11,0.593721
2007-09-12,0.597883
2007-09-13,0.599316
2007-09-14,0.604172
2007-09-17,0.606572
2007-09-18,0.611567
2007-09-19,0.625485
2007-09-20,0.617139
2007-09-21,0.615574
2007-09-24,0.618911
2007-09-25,0.620319
2007-09-26,0.617845
2007-09-27,0.613967
2007-09-28,0.613747
2007-10-01,0.615357
2007-10-02,0.615219
2007-10-03,0.612402
2007-10-04,0.613910
2007-10-05,0.619728
2007-10-08,0.619581
2007-10-09,0.621993
2007-10-10,0.620860
2007-10-11,0.621679
2007-10-12,0.624432
2007-10-15,0.626816
2007-10-16,0.622705
2007-10-17,0.611286
2007-10-18,0.608668
2007-10-19,0.600818
2007-10-22,0.596389
2007-10-23,0.601508
2007-10-24,0.598471
2007-10-25,0.599839
2007-10-26,0.602726
2007-10-29,0.604040
2007-10-30,0.602233
2007-10-31,0.610116
2007-11-01,0.601247
2007-11-02,0.598159
2007-11-05,0.598570
2007-11-06,0.602739
2007-11-07,0.599784
2007-11-08,0.590866
2007-11-09,0.589965
2007-11-12,0.591252
2007-11-13,0.591965
2007-11-14,0.593004
2007-11-15,0.589523
2007-11-16,0.589697
2007-11-19,0.585482
2007-11-20,0.581283
2007-11-21,0.565899
2007-11-23,0.566503
2007-11-26,0.565010
2007-11-27,0.571174
2007-11-28,0.578647
2007-11-29,0.578251
2007-11-30,0.579789
2007-12-03,0.583329
2007-12-04,0.580577
2007-12-05,0.575913
2007-12-06,0.584130
2007-12-07,0.587629
2007-12-10,0.588124
2007-12-11,0.579607
2007-12-12,0.587662
2007-12-13,0.591747
2007-12-14,0.594346
2007-12-17,0.587646
2007-12-18,0.587068
2007-12-19,0.585283
2007-12-20,0.584962
2007-12-21,0.591083
2007-12-24,0.590710
2007-12-26,0.590916
2007-12-27,0.590846
2007-12-28,0.580422
2007-12-31,0.579018
2008-01-02,0.567957
2008-01-03,0.565711
2008-01-04,0.563608
2008-01-07,0.559240
2008-01-08,0.554811
2008-01-09,0.549628
2008-01-10,0.555218
2008-01-11,0.552893
2008-01-14,0.550724
2008-01-15,0.548546
2008-01-16,0.548975
2008-01-17,0.540725
2008-01-18,0.545751
2008-01-22,0.535975
2008-01-23,0.539524
2008-01-24,0.551303
2008-01-25,0.547061
2008-01-28,0.546565
2008-01-29,0.549322
2008-01-30,0.551693
2008-01-31,0.549982
2008-02-01,0.548506
2008-02-04,0.551683
2008-02-05,0.543422
2008-02-06,0.543273
2008-02-07,0.547129
2008-02-08,0.538464
2008-02-11,0.533020
2008-02-12,0.536165
2008-02-13,0.537041
2008-02-14,0.542662
2008-02-15,0.540149
2008-02-19,0.541278
2008-02-20,0.543191
2008-02-21,0.539505
2008-02-22,0.541982
2008-02-25,0.547250
2008-02-26,0.549405
2008-02-27,0.547992
2008-02-28,0.540863
2008-02-29,0.533096
2008-03-03,0.534599
2008-03-04,0.536005
2008-03-05,0.539859
2008-03-06,0.534156
2008-03-07,0.531215
2008-03-10,0.526214
2008-03-11,0.533329
2008-03-12,0.527140
2008-03-13,0.526209
2008-03-14,0.517686
2008-03-17,0.512698
2008-03-18,0.523819
2008-03-19,0.519883
2008-03-20,0.521209
2008-03-24,0.534601
2008-03-25,0.534105
2008-03-26,0.532427
2008-03-27,0.531415
2008-03-28,0.529600
2008-03-31,0.531037
2008-04-01,0.538076
2008-04-02,0.540144
2008-04-03,0.539192
2008-04-04,0.537158
2008-04-07,0.545030
2008-04-08,0.546815
2008-04-09,0.538842
2008-04-10,0.542938
2008-04-11,0.536276
2008-04-14,0.539530
2008-04-15,0.541923
2008-04-16,0.547974
2008-04-17,0.549824
2008-04-18,0.554109
2008-04-21,0.553143
2008-04-22,0.553444
2008-04-23,0.556262
2008-04-24,0.560824
2008-04-25,0.564266
2008-04-28,0.566551
2008-04-29,0.563883
2008-04-30,0.562678
2008-05-01,0.574701
2008-05-02,0.573533
2008-05-05,0.571770
2008-05-06,0.569502
2008-05-07,0.567647
2008-05-08,0.562813
2008-05-09,0.563376
2008-05-12,0.563586
2008-05-13,0.568145
2008-05-14,0.567534
2008-05-15,0.565881
2008-05-16,0.567643
2008-05-19,0.568591
2008-05-20,0.565782
2008-05-21,0.566094
2008-05-22,0.568956
2008-05-23,0.563072
2008-05-27,0.562658
2008-05-28,0.569688
2008-05-29,0.571789
2008-05-30,0.569948
2008-06-02,0.561902
2008-06-03,0.559368
2008-06-04,0.560830
2008-06-05,0.566236
2008-06-06,0.559784
2008-06-09,0.565626
2008-06-10,0.569249
2008-06-11,0.568541
2008-06-12,0.572614
2008-06-13,0.576488
2008-06-16,0.568440
2008-06-17,0.567531
2008-06-18,0.565686
2008-06-19,0.565371
2008-06-20,0.560530
2008-06-23,0.558735
2008-06-24,0.553446
2008-06-25,0.555378
2008-06-26,0.547914
2008-06-27,0.543732
2008-06-30,0.542784
2008-07-01,0.543684
2008-07-02,0.541974
2008-07-03,0.541557
2008-07-07,0.539500
2008-07-08,0.536713
2008-07-09,0.532334
2008-07-10,0.532844
2008-07-11,0.537176
2008-07-14,0.533053
2008-07-15,0.522913
2008-07-16,0.529470
2008-07-17,0.533585
2008-07-18,0.544014
2008-07-21,0.545453
2008-07-22,0.549205
2008-07-23,0.548623
2008-07-24,0.545212
2008-07-25,0.549569
2008-07-28,0.544576
2008-07-29,0.546249
2008-07-30,0.545306
2008-07-31,0.542082
2008-08-01,0.539388
2008-08-04,0.536034
2008-08-05,0.542587
2008-08-06,0.538779
2008-08-07,0.533146
2008-08-08,0.534314
2008-08-11,0.535413
2008-08-12,0.533806
2008-08-13,0.535764
2008-08-14,0.534133
2008-08-15,0.533359
2008-08-18,0.530839
2008-08-19,0.532648
2008-08-20,0.530983
2008-08-21,0.531369
2008-08-22,0.529871
2008-08-25,0.529237
2008-08-26,0.526200
2008-08-27,0.526007
2008-08-28,0.527515
2008-08-29,0.529137
2008-09-02,0.526387
2008-09-03,0.526813
2008-09-04,0.526463
2008-09-05,0.527176
2008-09-08,0.526491
2008-09-09,0.525239
2008-09-10,0.523675
2008-09-11,0.524606
2008-09-12,0.527240
2008-09-15,0.498306
2008-09-16,0.488224
2008-09-17,0.454807
2008-09-18,0.496521
2008-09-19,0.511988
2008-09-22,0.512619
2008-09-23,0.507599
2008-09-24,0.510838
2008-09-25,0.499342
2008-09-26,0.497946
2008-09-29,0.451330
2008-09-30,0.473418
2008-10-01,0.490570
2008-10-02,0.475132
2008-10-03,0.471621
2008-10-06,0.450843
2008-10-07,0.443571
2008-10-08,0.430536
2008-10-09,0.424780
2008-10-10,0.401148
2008-10-13,0.453468
2008-10-14,0.458591
2008-10-15,0.435016
2008-10-16,0.418439
2008-10-17,0.410833
2008-10-20,0.418621
2008-10-21,0.411867
2008-10-22,0.405346
2008-10-23,0.411646
2008-10-24,0.403060
2008-10-27,0.382774
2008-10-28,0.390253
2008-10-29,0.407421
2008-10-30,0.421820
2008-10-31,0.422860
2008-11-03,0.425619
2008-11-04,0.425323
2008-11-05,0.419591
2008-11-06,0.420864
2008-11-07,0.426777
2008-11-10,0.426403
2008-11-11,0.424065
2008-11-12,0.415493
2008-11-13,0.416311
2008-11-14,0.407204
2008-11-17,0.399216
2008-11-18,0.387803
2008-11-19,0.370559
2008-11-20,0.351172
2008-11-21,0.357945
2008-11-24,0.362965
2008-11-25,0.360555
2008-11-26,0.366700
2008-11-28,0.364585
2008-12-01,0.352297
2008-12-02,0.354225
2008-12-03,0.353726
2008-12-04,0.349470
2008-12-05,0.353366
2008-12-08,0.358823
2008-12-09,0.353125
2008-12-10,0.353184
2008-12-11,0.348351
2008-12-12,0.352190
2008-12-15,0.349593
2008-12-16,0.350500
