date,value
2020-07-27,0.456629
2020-07-28,0.454987
2020-07-29,0.459189
2020-07-30,0.459254
2020-07-31,0.451185
2020-08-03,0.455712
2020-08-04,0.457030
2020-08-05,0.463051
2020-08-06,0.459884
2020-08-07,0.466826
2020-08-10,0.470315
2020-08-11,0.471104
2020-08-12,0.467014
2020-08-13,0.466694
2020-08-14,0.466336
2020-08-17,0.467442
2020-08-18,0.461684
2020-08-19,0.464065
2020-08-20,0.460440
2020-08-21,0.455427
2020-08-24,0.455550
2020-08-25,0.454609
2020-08-26,0.447053
2020-08-27,0.447319
2020-08-28,0.448280
2020-08-31,0.444925
2020-09-01,0.445929
2020-09-02,0.442985
2020-09-03,0.445313
2020-09-04,0.446192
2020-09-08,0.449709
2020-09-09,0.447602
2020-09-10,0.449611
2020-09-11,0.446500
2020-09-14,0.452278
2020-09-15,0.450919
2020-09-16,0.456923
2020-09-17,0.457722
2020-09-18,0.463651
2020-09-21,0.452538
2020-09-22,0.451540
2020-09-23,0.446369
2020-09-24,0.445245
2020-09-25,0.445381
2020-09-28,0.449126
2020-09-29,0.449240
2020-09-30,0.447029
2020-10-01,0.451377
2020-10-02,0.457971
2020-10-05,0.462322
2020-10-06,0.467574
2020-10-07,0.469741
2020-10-08,0.470908
2020-10-09,0.469092
2020-10-12,0.464881
2020-10-13,0.464504
2020-10-14,0.463234
2020-10-15,0.468486
2020-10-16,0.467494
2020-10-19,0.469031
2020-10-20,0.468169
2020-10-21,0.464840
2020-10-22,0.470295
2020-10-23,0.471836
2020-10-26,0.469966
2020-10-27,0.467540
2020-10-28,0.469054
2020-10-29,0.470132
2020-10-30,0.468572
2020-11-02,0.471898
2020-11-03,0.477037
2020-11-04,0.467070
2020-11-05,0.470870
2020-11-06,0.467158
2020-11-09,0.477986
2020-11-10,0.487715
2020-11-11,0.484062
2020-11-12,0.481173
2020-11-13,0.484523
2020-11-16,0.490053
2020-11-17,0.494746
2020-11-18,0.493726
2020-11-19,0.495291
2020-11-20,0.499353
2020-11-23,0.505804
2020-11-24,0.507214
2020-11-25,0.506246
2020-11-27,0.506956
2020-11-30,0.500055
2020-12-01,0.498989
2020-12-02,0.498636
2020-12-03,0.501418
2020-12-04,0.508815
2020-12-07,0.510351
2020-12-08,0.515400
2020-12-09,0.516049
2020-12-10,0.521504
2020-12-11,0.519537
2020-12-14,0.520731
2020-12-15,0.526693
2020-12-16,0.524129
2020-12-17,0.527406
2020-12-18,0.528840
2020-12-21,0.530908
2020-12-22,0.537565
2020-12-23,0.541719
2020-12-24,0.539270
2020-12-28,0.532690
2020-12-29,0.523206
2020-12-30,0.528079
2020-12-31,0.524555
2021-01-04,0.524237
2021-01-05,0.529298
2021-01-06,0.547318
2021-01-07,0.549214
2021-01-08,0.544696
2021-01-11,0.548003
2021-01-12,0.557744
2021-01-13,0.552305
2021-01-14,0.565650
2021-01-15,0.560853
2021-01-19,0.563946
2021-01-20,0.558696
2021-01-21,0.553297
2021-01-22,0.561689
2021-01-25,0.558726
2021-01-26,0.555807
2021-01-27,0.559188
2021-01-28,0.552915
2021-01-29,0.555471
2021-02-01,0.559877
2021-02-02,0.559873
2021-02-03,0.560991
2021-02-04,0.566112
2021-02-05,0.571753
2021-02-08,0.581884
2021-02-09,0.585353
2021-02-10,0.581712
2021-02-11,0.579959
2021-02-12,0.578757
2021-02-16,0.575416
2021-02-17,0.570999
2021-02-18,0.564376
2021-02-19,0.577336
2021-02-22,0.577775
2021-02-23,0.572233
2021-02-24,0.579436
2021-02-25,0.571511
2021-02-26,0.575136
2021-03-01,0.580513
2021-03-02,0.573558
2021-03-03,0.574811
2021-03-04,0.566014
2021-03-05,0.567347
2021-03-08,0.573181
2021-03-09,0.576634
2021-03-10,0.583323
2021-03-11,0.589785
2021-03-12,0.593198
2021-03-15,0.591422
2021-03-16,0.582176
2021-03-17,0.584865
2021-03-18,0.575187
2021-03-19,0.582674
2021-03-22,0.573717
2021-03-23,0.557238
2021-03-24,0.547329
2021-03-25,0.555618
2021-03-26,0.557290
2021-03-29,0.541099
2021-03-30,0.551840
2021-03-31,0.557673
2021-04-01,0.558746
2021-04-05,0.553321
2021-04-06,0.552231
2021-04-07,0.542499
2021-04-08,0.544769
2021-04-09,0.540881
2021-04-12,0.538718
2021-04-13,0.535871
2021-04-14,0.543089
2021-04-15,0.539572
2021-04-16,0.538462
2021-04-19,0.533926
2021-04-20,0.527257
2021-04-21,0.535006
2021-04-22,0.537469
2021-04-23,0.541454
2021-04-26,0.546299
2021-04-27,0.547106
2021-04-28,0.548304
2021-04-29,0.542901
2021-04-30,0.538998
2021-05-03,0.540463
2021-05-04,0.537262
2021-05-05,0.535024
2021-05-06,0.531755
2021-05-07,0.534071
2021-05-10,0.525481
2021-05-11,0.528753
2021-05-12,0.522541
2021-05-13,0.525909
2021-05-14,0.530969
2021-05-17,0.532663
2021-05-18,0.532691
2021-05-19,0.530427
2021-05-20,0.528450
2021-05-21,0.529965
2021-05-24,0.528202
2021-05-25,0.524254
2021-05-26,0.533195
2021-05-27,0.538466
2021-05-28,0.536898
2021-06-01,0.543574
2021-06-02,0.543300
2021-06-03,0.540870
2021-06-04,0.538063
2021-06-07,0.545877
2021-06-08,0.551532
2021-06-09,0.548745
2021-06-10,0.541484
2021-06-11,0.546091
2021-06-14,0.543229
2021-06-15,0.542873
2021-06-16,0.544356
2021-06-17,0.538529
2021-06-18,0.534847
2021-06-21,0.539096
2021-06-22,0.539053
2021-06-23,0.541099
2021-06-24,0.545442
2021-06-25,0.543494
2021-06-28,0.539126
2021-06-29,0.536042
2021-06-30,0.536046
2021-07-01,0.537831
2021-07-02,0.528053
2021-07-06,0.521768
2021-07-07,0.515029
2021-07-08,0.514435
2021-07-09,0.519686
2021-07-12,0.518439
2021-07-13,0.510202
2021-07-14,0.501627
2021-07-15,0.500661
2021-07-16,0.498180
2021-07-19,0.498822
2021-07-20,0.506299
2021-07-21,0.511220
2021-07-22,0.501527
2021-07-23,0.499113
2021-07-26,0.499342
2021-07-27,0.495660
2021-07-28,0.503373
2021-07-29,0.505015
2021-07-30,0.504242
2021-08-02,0.502559
2021-08-03,0.500680
2021-08-04,0.496754
2021-08-05,0.502694
2021-08-06,0.504972
2021-08-09,0.502329
2021-08-10,0.502971
2021-08-11,0.504079
2021-08-12,0.501281
2021-08-13,0.495773
2021-08-16,0.489966
2021-08-17,0.487207
2021-08-18,0.488146
2021-08-19,0.481703
2021-08-20,0.486073
2021-08-23,0.491024
2021-08-24,0.494966
2021-08-25,0.495762
2021-08-26,0.493458
2021-08-27,0.502666
2021-08-30,0.498607
2021-08-31,0.500299
2021-09-01,0.503592
2021-09-02,0.505262
2021-09-03,0.502947
2021-09-07,0.501417
2021-09-08,0.496507
2021-09-09,0.498675
2021-09-10,0.497430
2021-09-13,0.499104
2021-09-14,0.495272
2021-09-15,0.496377
2021-09-16,0.496903
2021-09-17,0.503817
2021-09-20,0.500173
2021-09-21,0.501580
2021-09-22,0.504374
2021-09-23,0.507380
2021-09-24,0.502501
2021-09-27,0.511295
2021-09-28,0.510158
2021-09-29,0.508415
2021-09-30,0.509532
2021-10-01,0.511929
2021-10-04,0.514014
2021-10-05,0.510347
2021-10-06,0.505679
2021-10-07,0.509384
2021-10-08,0.506133
2021-10-11,0.506994
2021-10-12,0.510919
2021-10-13,0.511340
2021-10-14,0.510328
2021-10-15,0.504890
