date,value
1986-07-05,0.1900
1986-07-07,0.1910
1986-07-08,0.2060
1986-07-09,0.2170
1986-07-10,0.2510
1986-07-11,0.3320
1986-07-14,0.3100
1986-07-15,0.3000
1986-07-16,0.3140
1986-07-17,0.3420
1986-07-18,0.3330
1986-07-19,0.3340
1986-07-21,0.3760
1986-07-22,0.3780
1986-07-23,0.3800
1986-07-24,0.3770
1986-07-25,0.3210
1986-07-26,0.3380
1986-07-28,0.3150
1986-07-29,0.3150
1986-07-30,0.3020
1986-07-31,0.3170
1986-08-01,0.3210
1986-08-02,0.2940
1986-08-04,0.3130
1986-08-05,0.2550
1986-08-06,0.2820
1986-08-07,0.2350
1986-08-08,0.2430
1986-08-11,0.1880
1986-08-12,0.1900
1986-08-13,0.1890
1986-08-14,0.2100
1986-08-15,0.2160
1986-08-18,0.2290
1986-08-19,0.2490
1986-08-20,0.2760
1986-08-21,0.2810
1986-08-22,0.3830
1986-08-23,0.4570
1986-08-25,0.4400
1986-08-26,0.4510
1986-08-27,0.4620
1986-08-28,0.4670
1986-08-29,0.4750
1986-08-30,0.4740
1986-09-01,0.5950
1986-09-02,0.6070
1986-09-03,0.6300
1986-09-04,0.6250
1986-09-05,0.6280
1986-09-06,0.6560
1986-09-08,0.6240
1986-09-09,0.6080
1986-09-10,0.6110
1986-09-11,0.6520
1986-09-12,0.6740
1986-09-15,0.6740
1986-09-16,0.7110
1986-09-17,0.7570
1986-09-18,0.7350
1986-09-19,0.6930
1986-09-22,0.7560
1986-09-23,0.7560
1986-09-24,0.7610
1986-09-25,0.7500
1986-09-26,0.7630
1986-09-27,0.7470
1986-09-29,0.7850
1986-09-30,0.7920
1986-10-01,0.7460
1986-10-02,0.7060
1986-10-03,0.7300
1986-10-04,0.7540
1986-10-06,0.7410
1986-10-07,0.7640
1986-10-08,0.7460
1986-10-09,0.7580
1986-10-10,0.7580
1986-10-13,0.7900
1986-10-14,0.7750
1986-10-15,0.8140
1986-10-16,0.8310
1986-10-17,0.8540
1986-10-20,0.9270
1986-10-21,0.9290
1986-10-22,0.9140
1986-10-23,0.8550
1986-10-24,0.8740
1986-10-25,0.8730
1986-10-27,0.8810
1986-10-28,0.8650
1986-10-29,0.8790
1986-10-30,0.8760
1986-10-31,1.0400
1986-11-01,1.0300
1986-11-03,1.0300
1986-11-04,0.9870
1986-11-05,0.9730
1986-11-06,0.9690
