date,value
1974-09-24,9.3620
1974-09-25,9.3640
1974-09-26,9.3660
1974-09-27,9.3670
1974-09-28,9.3690
1974-09-30,9.3730
1974-10-01,9.3740
1974-10-02,9.3760
1974-10-03,9.3780
1974-10-04,9.3790
1974-10-05,9.3810
1974-10-07,9.3850
1974-10-08,9.3860
1974-10-09,9.3880
1974-10-11,9.3910
1974-10-12,9.3930
1974-10-14,9.3960
1974-10-15,9.3980
1974-10-16,9.4000
1974-10-17,9.4010
1974-10-18,9.4030
1974-10-21,9.4080
1974-10-22,9.4100
1974-10-23,9.4110
1974-10-24,9.4130
1974-10-25,9.4150
1974-10-26,9.4160
1974-10-28,9.4190
1974-10-29,9.4210
1974-10-30,9.4230
1974-10-31,9.4240
1974-11-01,9.4260
1974-11-02,9.4280
1974-11-05,9.4320
1974-11-06,9.4340
1974-11-07,9.4350
1974-11-08,9.4370
1974-11-09,9.4390
1974-11-11,9.4420
1974-11-12,9.4430
1974-11-13,9.4450
1974-11-14,9.4460
1974-11-15,9.4480
1974-11-18,9.4520
1974-11-19,9.4590
1974-11-20,9.4730
1974-11-21,9.5060
1974-11-22,9.5120
1974-11-25,9.5170
1974-11-26,9.5180
1974-11-27,9.5200
1974-11-28,9.5210
1974-11-29,9.5230
1974-11-30,9.5240
1974-12-02,9.5270
1974-12-03,9.5280
1974-12-04,9.5300
1974-12-05,9.5310
1974-12-06,9.5330
1974-12-07,9.5340
1974-12-09,9.5370
1974-12-10,9.5380
1974-12-11,9.5400
1974-12-12,9.5410
1974-12-13,9.5430
1974-12-14,9.5440
1974-12-16,9.5470
1974-12-17,9.5480
1974-12-18,9.5500
1974-12-19,9.5510
1974-12-20,9.5520
1974-12-23,9.5560
1974-12-24,9.5580
1974-12-25,9.5590
1974-12-26,9.5600
1974-12-27,9.5620
1974-12-28,9.5630
1975-01-04,9.5720
1975-01-06,9.5750
1975-01-07,9.5760
1975-01-08,9.5780
1975-01-09,9.5790
1975-01-10,9.5800
1975-01-11,9.5810
1975-01-13,9.5840
1975-01-14,9.5850
1975-01-16,9.5880
1975-01-17,9.5890
1975-01-20,9.5930
1975-01-21,9.5940
1975-01-22,9.5950
1975-01-23,9.5960
1975-01-24,9.5980
1975-01-25,9.5990
1975-01-27,9.6010
1975-01-28,9.6020
1975-01-29,9.6040
1975-01-30,9.6050
1975-01-31,9.6060
1975-02-01,9.6070
1975-02-03,9.6100
1975-02-04,9.6110
1975-02-05,9.6120
1975-02-06,9.6130
1975-02-07,9.6140
1975-02-08,9.6150
1975-02-10,9.6180
1975-02-12,9.6200
1975-02-13,9.6190
1975-02-14,9.6200
1975-02-17,9.6230
1975-02-18,9.6250
1975-02-19,9.6320
1975-02-20,9.6460
1975-02-21,9.6470
1975-02-22,9.5880
1975-02-24,9.5930
1975-02-25,9.5950
1975-02-26,9.5970
1975-02-27,9.6000
1975-02-28,9.5640
1975-03-01,9.5670
1975-03-03,9.5730
1975-03-04,9.5760
1975-03-05,9.5790
1975-03-06,9.5820
1975-03-07,9.5850
1975-03-08,9.5880
1975-03-10,9.5930
1975-03-11,9.5960
1975-03-12,9.5990
1975-03-13,9.6020
1975-03-14,9.6050
1975-03-17,9.6130
1975-03-18,9.6160
1975-03-19,9.6190
1975-03-20,9.6220
1975-03-22,9.6270
1975-03-24,9.6330
1975-03-25,9.6360
1975-03-26,9.6380
1975-03-27,9.6410
1975-03-28,9.6440
1975-03-29,9.6470
1975-03-31,9.6520
1975-04-01,9.6550
1975-04-02,9.6580
1975-04-03,9.6600
1975-04-04,9.6630
1975-04-05,9.6660
1975-04-07,9.6710
1975-04-08,9.6740
1975-04-09,9.6760
1975-04-10,9.6790
1975-04-11,9.6820
1975-04-12,9.6840
1975-04-14,9.6900
1975-04-15,9.6920
1975-04-16,9.6950
1975-04-17,9.6970
1975-04-18,9.7000
1975-04-21,9.6950
1975-04-22,9.6980
1975-04-23,9.7010
1975-04-24,9.7040
1975-04-25,9.7070
1975-04-26,9.7100
1975-04-28,9.7160
1975-04-30,9.7220
1975-05-01,9.7250
1975-05-02,9.7280
1975-05-06,9.7390
1975-05-07,9.7420
1975-05-08,9.7450
1975-05-09,9.7480
1975-05-10,9.7500
1975-05-12,9.7560
1975-05-13,9.7560
1975-05-14,9.7590
1975-05-15,9.7630
1975-05-16,9.7660
1975-05-19,9.7750
1975-05-20,9.7600
1975-05-21,9.6460
1975-05-22,9.4600
1975-05-23,9.4410
1975-05-24,9.4450
1975-05-26,9.4520
1975-05-27,9.4550
1975-05-28,9.4580
1975-05-29,9.4620
1975-05-30,9.4650
1975-05-31,9.4680
1975-06-02,9.4750
1975-06-03,9.4780
1975-06-04,9.4820
1975-06-05,9.4850
1975-06-06,9.4880
1975-06-07,9.4920
1975-06-09,9.4670
1975-06-10,9.4700
1975-06-11,9.4740
1975-06-12,9.4770
1975-06-13,9.4800
1975-06-14,9.4520
1975-06-16,9.4590
1975-06-17,9.4620
1975-06-18,9.4660
1975-06-19,9.4690
1975-06-20,9.4720
1975-06-23,9.4820
1975-06-24,9.4850
1975-06-25,9.4880
1975-06-26,9.4920
1975-06-27,9.4950
1975-06-28,9.4980
1975-06-30,9.5050
1975-07-01,9.5080
1975-07-02,9.5110
1975-07-03,9.5140
1975-07-04,9.5180
1975-07-05,9.5210
1975-07-07,9.5270
1975-07-08,9.5300
1975-07-09,9.5340
1975-07-10,9.5370
1975-07-11,9.5400
1975-07-12,9.5430
1975-07-14,9.5490
1975-07-15,9.5530
1975-07-16,9.5560
1975-07-17,9.5590
1975-07-18,9.5620
1975-07-21,9.5710
