date,value
2016-01-08,-447.121
2016-01-15,-210.904
2016-01-22,-190.227
2016-01-29,-207.348
2016-02-05,-611.249
2016-02-12,-573.497
2016-02-19,-405.334
2016-02-26,-408.187
2016-03-04,-95.436
2016-03-11,-1193.203
2016-03-18,-457.956
2016-03-25,-204.289
2016-04-01,-7.942
2016-04-08,32.662
2016-04-15,384.891
2016-04-22,532.090
2016-04-28,-89.226
2016-05-06,-314.285
2016-05-13,56.766
2016-05-20,2.197
2016-05-27,-70.500
2016-06-03,-146.169
2016-06-10,223.586
2016-06-17,-220.810
2016-06-24,-130.109
2016-07-01,10.530
2016-07-08,-174.869
2016-07-15,351.193
2016-07-22,-126.192
2016-07-29,78.840
2016-08-05,-458.699
2016-08-12,48.431
2016-08-19,-166.715
2016-08-26,171.364
2016-09-02,-64.228
2016-09-09,-333.806
2016-09-16,-480.566
2016-09-23,-101.923
2016-09-30,-188.772
2016-10-07,280.528
2016-10-14,113.157
2016-10-21,73.088
2016-10-28,4.944
2016-11-04,-64.558
2016-11-11,400.699
2016-11-18,490.332
2016-11-25,302.700
2016-12-02,414.848
2016-12-09,562.534
2016-12-16,82.224
2016-12-22,-194.701
2016-12-30,32.466
2017-01-06,232.623
2017-01-13,110.574
2017-01-20,-103.955
2017-01-27,-206.663
2017-02-03,-244.802
2017-02-10,137.151
2017-02-17,-76.309
2017-02-24,-72.772
2017-03-03,-79.671
2017-03-10,-98.674
2017-03-17,-406.999
2017-03-24,-374.151
2017-03-31,-54.946
2017-04-07,90.827
2017-04-14,102.721
2017-04-21,277.048
2017-04-28,284.986
2017-05-02,158.333
2017-05-12,560.202
2017-05-19,30.179
2017-05-26,22.052
2017-06-02,428.233
2017-06-09,-35.437
2017-06-16,-206.569
2017-06-23,-9.212
2017-06-30,11.528
2017-07-07,-1.537
2017-07-14,173.235
2017-07-21,86.108
2017-07-28,-128.293
2017-08-04,-29.514
2017-08-10,-274.672
2017-08-18,-205.710
2017-08-25,-152.905
2017-09-01,-61.360
2017-09-08,-294.890
2017-09-15,-417.264
2017-09-22,-61.116
2017-09-29,201.791
2017-10-06,657.540
2017-10-13,459.397
