date,value
2002-11-12,120.21
2002-11-13,122.88
2002-11-14,130.29
2002-11-15,132.35
2002-11-18,129.14
2002-11-19,126.49
2002-11-20,125.87
2002-11-21,127.02
2002-11-22,126.27
2002-11-25,120.84
2002-11-26,120.81
2002-11-27,128.31
2002-11-29,127.52
2002-12-02,127.52
2002-12-03,130.64
2002-12-04,131.06
2002-12-05,130.44
2002-12-06,128.46
2002-12-09,122.96
2002-12-10,115.59
2002-12-11,118.33
2002-12-12,117.16
2002-12-13,116.21
2002-12-16,120.33
2002-12-17,119.83
2002-12-18,118.63
2002-12-19,124.07
2002-12-20,125.25
2002-12-23,124.78
2002-12-24,121.25
2002-12-26,118.61
2002-12-27,123.87
2002-12-30,123.72
2002-12-31,123.89
2003-01-02,130.87
2003-01-06,124.83
2003-01-07,117.53
2003-01-08,119.42
2003-01-09,125.08
2003-01-10,120.02
2003-01-13,119.79
2003-01-14,114.16
2003-01-15,115.35
2003-01-16,115.15
2003-01-17,116.02
2003-01-21,114.80
2003-01-22,109.94
2003-01-23,107.73
2003-01-24,109.41
2003-01-27,117.73
2003-01-28,116.89
2003-01-29,114.49
2003-01-30,115.62
2003-01-31,110.89
2003-02-03,109.12
2003-02-04,112.06
2003-02-05,122.13
2003-02-06,117.22
2003-02-07,115.49
2003-02-10,114.07
2003-02-11,112.32
2003-02-12,113.14
2003-02-13,116.34
2003-02-18,115.78
2003-02-19,107.13
2003-02-20,109.17
2003-02-21,104.85
2003-02-24,104.05
2003-02-25,103.10
2003-02-26,114.16
2003-02-27,103.80
2003-02-28,105.36
2003-03-03,101.76
2003-03-04,100.94
2003-03-05,103.15
2003-03-06,102.84
2003-03-07,104.60
2003-03-10,105.98
2003-03-11,104.28
2003-03-12,104.33
2003-03-13,110.99
2003-03-14,110.35
2003-03-17,118.37
2003-03-18,124.88
2003-03-19,130.28
2003-03-20,125.83
2003-03-21,124.18
2003-03-24,119.97
2003-03-25,116.45
2003-03-26,116.30
2003-03-27,115.06
2003-03-28,114.50
2003-03-31,112.09
2003-04-01,109.66
2003-04-02,116.79
2003-04-03,115.94
2003-04-04,114.37
2003-04-07,113.48
2003-04-08,110.08
2003-04-09,105.88
2003-04-10,103.57
2003-04-11,103.66
2003-04-14,102.72
2003-04-15,98.57
2003-04-16,96.03
2003-04-17,96.20
2003-04-21,95.80
2003-04-22,98.57
2003-04-23,95.79
2003-04-24,92.43
2003-04-25,91.66
2003-04-28,91.06
2003-04-29,90.64
2003-04-30,89.27
2003-05-01,89.67
2003-05-02,90.67
2003-05-05,88.07
2003-05-06,84.73
2003-05-07,86.37
2003-05-08,85.29
2003-05-09,82.56
2003-05-12,83.21
2003-05-13,84.97
2003-05-14,88.92
2003-05-15,94.39
2003-05-16,94.64
2003-05-19,97.88
2003-05-20,104.39
2003-05-21,108.54
2003-05-22,102.78
2003-05-23,99.53
2003-05-27,99.61
2003-05-28,100.35
2003-05-29,99.43
2003-05-30,99.81
2003-06-02,101.65
2003-06-04,105.18
2003-06-05,108.38
2003-06-06,103.35
2003-06-09,103.07
2003-06-11,104.70
2003-06-12,101.58
2003-06-13,103.18
2003-06-16,101.60
2003-06-17,105.35
2003-06-18,111.46
2003-06-19,113.39
2003-06-23,108.45
2003-06-24,105.66
2003-06-25,106.09
2003-06-26,106.60
2003-06-27,108.19
2003-06-30,103.60
2003-07-01,100.56
2003-07-02,106.10
2003-07-03,107.51
2003-07-07,104.88
2003-07-09,101.98
2003-07-10,103.09
2003-07-11,98.87
2003-07-14,99.30
2003-07-15,106.42
2003-07-16,109.89
2003-07-17,110.06
2003-07-18,104.92
2003-07-21,114.74
2003-07-22,120.50
2003-07-23,117.20
2003-07-24,115.12
2003-07-25,115.93
2003-07-28,126.36
2003-07-29,141.44
2003-07-30,146.99
2003-07-31,160.86
2003-08-01,157.22
2003-08-04,145.71
2003-08-05,144.50
2003-08-06,144.38
2003-08-07,129.15
2003-08-08,130.96
2003-08-11,139.83
2003-08-12,131.67
2003-08-13,144.75
2003-08-14,147.39
2003-08-15,140.59
2003-08-18,132.01
2003-08-19,124.12
2003-08-20,128.32
2003-08-22,135.09
2003-08-25,132.79
2003-08-26,130.80
2003-08-27,127.72
2003-08-28,128.73
2003-08-29,126.55
2003-09-02,135.60
2003-09-03,134.09
2003-09-04,127.78
2003-09-05,124.73
2003-09-08,120.09
2003-09-09,125.56
2003-09-10,118.76
2003-09-11,120.41
2003-09-12,120.87
2003-09-15,119.28
2003-09-16,118.70
2003-09-17,117.82
2003-09-18,116.89
2003-09-19,112.40
2003-09-22,115.50
2003-09-23,115.20
2003-09-24,115.00
2003-09-25,112.70
2003-09-26,113.50
2003-09-29,115.43
2003-09-30,116.69
2003-10-01,118.24
2003-10-02,122.66
2003-10-03,124.80
2003-10-06,121.60
2003-10-07,119.16
2003-10-08,121.70
2003-10-09,120.16
2003-10-10,118.27
2003-10-13,118.27
2003-10-14,118.15
2003-10-15,122.29
2003-10-16,127.38
2003-10-17,125.55
2003-10-20,124.41
2003-10-21,117.66
2003-10-22,118.17
2003-10-23,120.10
2003-10-24,119.56
2003-10-27,118.20
2003-10-28,116.52
2003-10-29,111.84
2003-10-30,119.02
2003-10-31,118.76
2003-11-04,116.23
2003-11-05,119.46
2003-11-06,123.88
2003-11-07,120.57
2003-11-10,117.82
2003-11-12,115.81
2003-11-13,113.68
2003-11-14,114.25
2003-11-17,113.98
2003-11-18,114.10
2003-11-19,114.85
2003-11-20,114.85
2003-11-21,114.44
2003-11-24,109.97
2003-11-25,106.73
2003-11-26,104.85
2003-11-28,104.91
2003-12-01,113.14
2003-12-02,116.53
2003-12-03,117.88
2003-12-04,120.18
2003-12-05,116.42
2003-12-08,113.76
2003-12-09,115.28
2003-12-10,112.91
2003-12-11,109.20
2003-12-12,111.05
2003-12-15,111.01
2003-12-16,110.05
2003-12-17,109.58
2003-12-18,107.11
2003-12-19,109.23
2003-12-22,114.09
2003-12-23,115.28
2003-12-24,116.23
2003-12-26,116.23
2003-12-29,116.47
2003-12-30,116.54
2003-12-31,117.91
2004-01-02,118.01
2004-01-05,113.84
2004-01-06,108.77
2004-01-07,110.91
2004-01-08,109.71
2004-01-09,102.82
2004-01-12,100.21
2004-01-13,97.54
2004-01-14,100.83
2004-01-15,103.64
2004-01-16,104.53
2004-01-20,102.73
2004-01-21,103.43
2004-01-22,105.73
2004-01-23,112.22
2004-01-26,114.44
2004-01-27,111.60
2004-01-28,116.53
2004-01-29,124.93
2004-01-30,116.75
2004-02-02,116.21
2004-02-03,116.40
2004-02-04,120.71
2004-02-05,125.73
2004-02-06,115.11
