date,value
2021-07-27,9.8
2021-07-28,8.1
2021-07-29,16.6
2021-07-30,14.1
2021-08-02,8.7
2021-08-03,20.6
2021-08-04,10.0
2021-08-05,11.2
2021-08-06,7.7
2021-08-09,5.8
2021-08-10,8.9
2021-08-11,13.5
2021-08-12,10.0
2021-08-13,14.6
2021-08-16,16.2
2021-08-17,8.7
2021-08-18,0.6
2021-08-19,5.4
2021-08-20,11.6
2021-08-23,7.3
2021-08-24,7.7
2021-08-25,12.1
2021-08-26,5.2
2021-08-27,15.0
2021-08-30,16.4
2021-08-31,8.1
2021-09-01,12.7
2021-09-02,19.3
2021-09-03,10.8
2021-09-07,3.3
2021-09-08,6.7
2021-09-09,2.9
2021-09-10,1.9
2021-09-13,1.9
2021-09-14,1.5
2021-09-15,4.6
2021-09-16,3.5
2021-09-17,0.4
2021-09-20,-0.6
2021-09-21,-1.0
2021-09-22,0.6
2021-09-23,4.6
2021-09-24,4.2
2021-09-27,4.8
2021-09-28,-0.4
2021-09-29,1.5
2021-09-30,-0.8
2021-10-01,1.7
2021-10-04,0.6
2021-10-05,2.5
2021-10-06,1.7
2021-10-07,3.7
2021-10-08,5.0
2021-10-11,2.9
2021-10-12,2.3
2021-10-13,3.3
2021-10-14,9.7
2021-10-15,10.8
2021-10-18,8.3
2021-10-19,11.4
2021-10-20,15.4
2021-10-21,12.0
2021-10-22,16.6
2021-10-26,14.7
2021-10-27,5.0
2021-10-28,11.6
2021-10-29,11.8
2021-11-01,8.5
2021-11-02,12.4
2021-11-03,12.0
2021-11-04,14.1
2021-11-05,12.6
2021-11-08,10.4
2021-11-09,10.1
2021-11-10,3.1
2021-11-11,4.6
2021-11-12,10.1
2021-11-15,10.1
2021-11-16,13.4
2021-11-17,6.8
2021-11-18,6.8
2021-11-19,6.0
2021-11-22,1.9
2021-11-23,5.0
2021-11-24,7.6
2021-11-26,-3.1
2021-11-29,0.0
2021-11-30,-6.4
2021-12-01,-7.2
2021-12-02,0.8
2021-12-03,1.2
2021-12-06,4.3
2021-12-07,11.0
2021-12-08,9.1
2021-12-09,3.1
2021-12-10,9.3
2021-12-13,6.4
2021-12-14,1.9
2021-12-15,11.5
2021-12-16,8.4
2021-12-17,1.4
2021-12-20,-0.8
2021-12-21,2.9
2021-12-22,7.2
2021-12-23,8.5
2021-12-27,17.7
2021-12-28,12.8
2021-12-29,18.6
2021-12-30,6.4
2021-12-31,10.9
2022-01-03,3.5
2022-01-04,11.7
2022-01-05,3.3
2022-01-06,6.2
2022-01-07,9.3
2022-01-10,2.7
2022-01-11,9.1
2022-01-12,6.8
2022-01-13,7.0
2022-01-14,11.1
2022-01-18,0.4
2022-01-19,-0.8
2022-01-20,-1.6
2022-01-21,-3.9
2022-01-24,-2.7
2022-01-25,-0.2
2022-01-26,-1.6
2022-01-27,-1.2
2022-01-28,1.9
2022-01-31,2.9
2022-02-01,3.5
2022-02-02,7.2
2022-02-03,0.4
2022-02-04,0.8
2022-02-07,3.3
2022-02-08,6.0
2022-02-09,7.2
2022-02-10,0.8
2022-02-11,0.4
2022-02-14,-3.5
2022-02-15,1.6
2022-02-16,1.8
2022-02-17,-4.5
2022-02-18,-3.7
2022-02-22,-6.0
2022-02-23,-9.9
2022-02-24,-2.3
2022-02-25,4.7
2022-02-28,3.5
2022-03-01,-1.0
2022-03-02,5.7
2022-03-03,4.7
2022-03-04,3.7
2022-03-07,-11.5
2022-03-09,-0.4
2022-03-10,1.0
2022-03-11,-5.1
2022-03-14,-6.6
2022-03-15,2.9
2022-03-16,2.1
2022-03-17,5.5
