date,value
1971-01-08,0.598
1971-01-15,0.630
1971-01-22,0.667
1971-01-29,0.707
1971-02-05,0.750
1971-02-12,0.793
1971-02-19,0.836
1971-02-26,0.878
1971-03-05,0.921
1971-03-12,0.967
1971-03-19,1.019
1971-03-26,1.078
1971-04-02,1.144
1971-04-09,1.217
1971-04-16,1.291
1971-04-23,1.361
1971-04-30,1.419
1971-05-07,1.458
1971-05-14,1.469
1971-05-21,1.448
1971-05-28,1.396
1971-06-04,1.316
1971-06-11,1.218
1971-06-18,1.117
1971-06-25,1.030
1971-07-02,0.972
1971-07-09,0.960
1971-07-16,1.003
1971-07-23,1.103
1971-07-30,1.255
1971-08-06,1.445
1971-08-13,1.653
1971-08-20,1.856
1971-08-27,2.029
1971-09-03,2.158
1971-09-10,2.227
1971-09-17,2.237
1971-09-24,2.190
1971-10-01,2.098
1971-10-08,1.974
1971-10-15,1.835
1971-10-22,1.698
1971-10-29,1.577
1971-11-05,1.482
1971-11-12,1.415
1971-11-19,1.377
1971-11-26,1.361
1971-12-03,1.358
1971-12-10,1.361
1971-12-17,1.358
1971-12-24,1.342
1971-12-31,1.310
1972-01-07,1.252
1972-01-14,1.177
1972-01-21,1.086
1972-01-28,0.985
1972-02-04,0.883
1972-02-11,0.783
1972-02-18,0.690
1972-02-25,0.607
1972-03-03,0.535
1972-03-10,0.475
1972-03-17,0.423
1972-03-24,0.378
1972-03-31,0.335
1972-04-07,0.291
1972-04-14,0.245
1972-04-21,0.196
1972-04-28,0.148
1972-05-05,0.104
1972-05-12,0.067
1972-05-19,0.041
1972-05-26,0.031
1972-06-02,0.038
1972-06-09,0.064
1972-06-16,0.105
1972-06-23,0.157
1972-06-30,0.212
1972-07-07,0.264
1972-07-14,0.305
1972-07-21,0.329
1972-07-28,0.332
1972-08-04,0.314
1972-08-11,0.275
1972-08-18,0.221
1972-08-25,0.156
1972-09-01,0.088
1972-09-08,0.023
1972-09-15,-0.033
1972-09-22,-0.078
1972-09-29,-0.112
1972-10-06,-0.136
1972-10-13,-0.153
1972-10-20,-0.167
1972-10-27,-0.180
1972-11-03,-0.195
1972-11-10,-0.213
1972-11-17,-0.233
1972-11-24,-0.254
1972-12-01,-0.271
1972-12-08,-0.281
1972-12-15,-0.278
1972-12-22,-0.256
1972-12-29,-0.210
1973-01-05,-0.137
1973-01-12,-0.034
1973-01-19,0.095
1973-01-26,0.246
1973-02-02,0.414
1973-02-09,0.588
1973-02-16,0.757
1973-02-23,0.912
1973-03-02,1.043
1973-03-09,1.146
1973-03-16,1.217
1973-03-23,1.259
1973-03-30,1.277
1973-04-06,1.274
1973-04-13,1.258
1973-04-20,1.233
1973-04-27,1.205
1973-05-04,1.177
1973-05-11,1.153
1973-05-18,1.134
1973-05-25,1.123
1973-06-01,1.123
1973-06-08,1.138
1973-06-15,1.168
1973-06-22,1.217
1973-06-29,1.286
1973-07-06,1.374
1973-07-13,1.481
1973-07-20,1.602
1973-07-27,1.731
1973-08-03,1.863
1973-08-10,1.992
1973-08-17,2.113
1973-08-24,2.219
1973-08-31,2.307
1973-09-07,2.371
1973-09-14,2.409
1973-09-21,2.422
1973-09-28,2.412
1973-10-05,2.380
1973-10-12,2.335
1973-10-19,2.283
1973-10-26,2.232
1973-11-02,2.187
1973-11-09,2.154
1973-11-16,2.131
1973-11-23,2.113
1973-11-30,2.090
1973-12-07,2.052
1973-12-14,1.988
1973-12-21,1.893
1973-12-28,1.764
1974-01-04,1.603
1974-01-11,1.421
1974-01-18,1.226
1974-01-25,1.031
1974-02-01,0.848
1974-02-08,0.689
1974-02-15,0.563
1974-02-22,0.479
1974-03-01,0.442
1974-03-08,0.457
1974-03-15,0.525
1974-03-22,0.645
1974-03-29,0.815
1974-04-05,1.030
1974-04-12,1.287
1974-04-19,1.578
1974-04-26,1.899
1974-05-03,2.241
1974-05-10,2.600
1974-05-17,2.967
1974-05-24,3.333
1974-05-31,3.692
1974-06-07,4.034
1974-06-14,4.351
1974-06-21,4.632
1974-06-28,4.866
1974-07-05,5.044
1974-07-12,5.159
1974-07-19,5.211
1974-07-26,5.205
1974-08-02,5.149
1974-08-09,5.053
1974-08-16,4.931
1974-08-23,4.791
1974-08-30,4.641
1974-09-06,4.487
1974-09-13,4.329
1974-09-20,4.168
1974-09-27,4.001
1974-10-04,3.827
1974-10-11,3.645
1974-10-18,3.464
1974-10-25,3.293
1974-11-01,3.137
1974-11-08,3.004
1974-11-15,2.896
1974-11-22,2.810
1974-11-29,2.739
1974-12-06,2.677
1974-12-13,2.613
1974-12-20,2.540
1974-12-27,2.451
1975-01-03,2.341
1975-01-10,2.210
1975-01-17,2.062
1975-01-24,1.903
1975-01-31,1.739
1975-02-07,1.575
1975-02-14,1.419
1975-02-21,1.272
1975-02-28,1.135
1975-03-07,1.010
1975-03-14,0.894
1975-03-21,0.786
1975-03-28,0.684
1975-04-04,0.584
1975-04-11,0.487
1975-04-18,0.392
1975-04-25,0.298
1975-05-02,0.208
1975-05-09,0.123
1975-05-16,0.047
1975-05-23,-0.020
1975-05-30,-0.074
1975-06-06,-0.116
1975-06-13,-0.145
1975-06-20,-0.163
1975-06-27,-0.171
1975-07-04,-0.172
1975-07-11,-0.169
1975-07-18,-0.164
1975-07-25,-0.156
1975-08-01,-0.146
1975-08-08,-0.133
1975-08-15,-0.117
1975-08-22,-0.096
1975-08-29,-0.070
1975-09-05,-0.041
1975-09-12,-0.008
1975-09-19,0.027
1975-09-26,0.061
1975-10-03,0.093
1975-10-10,0.119
1975-10-17,0.139
1975-10-24,0.151
1975-10-31,0.154
1975-11-07,0.147
1975-11-14,0.130
1975-11-21,0.102
1975-11-28,0.063
1975-12-05,0.013
1975-12-12,-0.046
1975-12-19,-0.113
1975-12-26,-0.186
1976-01-02,-0.261
1976-01-09,-0.336
1976-01-16,-0.408
1976-01-23,-0.474
1976-01-30,-0.533
1976-02-06,-0.585
1976-02-13,-0.628
1976-02-20,-0.665
1976-02-27,-0.694
1976-03-05,-0.717
1976-03-12,-0.733
1976-03-19,-0.742
1976-03-26,-0.743
1976-04-02,-0.736
1976-04-09,-0.720
1976-04-16,-0.696
1976-04-23,-0.664
1976-04-30,-0.627
1976-05-07,-0.587
1976-05-14,-0.548
1976-05-21,-0.513
1976-05-28,-0.485
1976-06-04,-0.466
1976-06-11,-0.459
1976-06-18,-0.463
1976-06-25,-0.478
1976-07-02,-0.500
1976-07-09,-0.529
1976-07-16,-0.560
1976-07-23,-0.592
1976-07-30,-0.623
1976-08-06,-0.650
1976-08-13,-0.674
1976-08-20,-0.693
1976-08-27,-0.708
1976-09-03,-0.717
1976-09-10,-0.723
1976-09-17,-0.725
1976-09-24,-0.724
1976-10-01,-0.720
1976-10-08,-0.714
