date,value
2020-07-27,0.330075
2020-07-28,0.329971
2020-07-29,0.331191
2020-07-30,0.329979
2020-07-31,0.326943
2020-08-03,0.325982
2020-08-04,0.326061
2020-08-05,0.326819
2020-08-06,0.324279
2020-08-07,0.326913
2020-08-10,0.329965
2020-08-11,0.331897
2020-08-12,0.329589
2020-08-13,0.328752
2020-08-14,0.329217
2020-08-17,0.328642
2020-08-18,0.325931
2020-08-19,0.326168
2020-08-20,0.323547
2020-08-21,0.322030
2020-08-24,0.323235
2020-08-25,0.322707
2020-08-26,0.318978
2020-08-27,0.320165
2020-08-28,0.320591
2020-08-31,0.319617
2020-09-01,0.317621
2020-09-02,0.318834
2020-09-03,0.322245
2020-09-04,0.324392
2020-09-08,0.326517
2020-09-09,0.324301
2020-09-10,0.324611
2020-09-11,0.326208
2020-09-14,0.327699
2020-09-15,0.326268
2020-09-16,0.329536
2020-09-17,0.330411
2020-09-18,0.332264
2020-09-21,0.325657
2020-09-22,0.324174
2020-09-23,0.324821
2020-09-24,0.324390
2020-09-25,0.323639
2020-09-28,0.323947
2020-09-29,0.323748
2020-09-30,0.323231
2020-10-01,0.321823
2020-10-02,0.326403
2020-10-05,0.326357
2020-10-06,0.328168
2020-10-07,0.328275
2020-10-08,0.329871
2020-10-09,0.327370
2020-10-12,0.324715
2020-10-13,0.323819
2020-10-14,0.324710
2020-10-15,0.326426
2020-10-16,0.326500
2020-10-19,0.327085
2020-10-20,0.328004
2020-10-21,0.327308
2020-10-22,0.329537
2020-10-23,0.329973
2020-10-26,0.328237
2020-10-27,0.325696
2020-10-28,0.326814
2020-10-29,0.327019
2020-10-30,0.329121
2020-11-02,0.332808
2020-11-03,0.334137
2020-11-04,0.326879
2020-11-05,0.326806
2020-11-06,0.325366
2020-11-09,0.335016
2020-11-10,0.337419
2020-11-11,0.334380
2020-11-12,0.332484
2020-11-13,0.335475
2020-11-16,0.337955
2020-11-17,0.338842
2020-11-18,0.339172
2020-11-19,0.339248
2020-11-20,0.339665
2020-11-23,0.342788
2020-11-24,0.344686
2020-11-25,0.342691
2020-11-27,0.341518
2020-11-30,0.339231
2020-12-01,0.338999
2020-12-02,0.339160
2020-12-03,0.340851
2020-12-04,0.343437
2020-12-07,0.342646
2020-12-08,0.342727
2020-12-09,0.344755
2020-12-10,0.345051
2020-12-11,0.343254
2020-12-14,0.342410
2020-12-15,0.343101
2020-12-16,0.341881
2020-12-17,0.342119
2020-12-18,0.344315
2020-12-21,0.341407
2020-12-22,0.340725
2020-12-23,0.342402
2020-12-24,0.341753
2020-12-28,0.339868
2020-12-29,0.338610
2020-12-30,0.340547
2020-12-31,0.341180
2021-01-04,0.340590
2021-01-05,0.341313
2021-01-06,0.347233
2021-01-07,0.345920
2021-01-08,0.344507
2021-01-11,0.346066
2021-01-12,0.349211
2021-01-13,0.347034
2021-01-14,0.349202
2021-01-15,0.348986
2021-01-19,0.348283
2021-01-20,0.345821
2021-01-21,0.343572
2021-01-22,0.343512
2021-01-25,0.341380
2021-01-26,0.340500
2021-01-27,0.340545
2021-01-28,0.341413
2021-01-29,0.342072
2021-02-01,0.340892
2021-02-02,0.340675
2021-02-03,0.341120
2021-02-04,0.341335
2021-02-05,0.341726
2021-02-08,0.343223
2021-02-09,0.343386
2021-02-10,0.344254
2021-02-11,0.344203
2021-02-12,0.344651
2021-02-16,0.345204
2021-02-17,0.344903
2021-02-18,0.344210
2021-02-19,0.347725
2021-02-22,0.350829
2021-02-23,0.351921
2021-02-24,0.353150
2021-02-25,0.353500
2021-02-26,0.352949
2021-03-01,0.352401
2021-03-02,0.353402
2021-03-03,0.356238
2021-03-04,0.355418
2021-03-05,0.357264
2021-03-08,0.361540
2021-03-09,0.357108
2021-03-10,0.358399
2021-03-11,0.357108
2021-03-12,0.359416
2021-03-15,0.360316
2021-03-16,0.357316
2021-03-17,0.357984
2021-03-18,0.359779
2021-03-19,0.361148
2021-03-22,0.357023
2021-03-23,0.354556
2021-03-24,0.356026
2021-03-25,0.358349
2021-03-26,0.359326
2021-03-29,0.357334
2021-03-30,0.358143
2021-03-31,0.357577
2021-04-01,0.357118
2021-04-05,0.355652
2021-04-06,0.355854
2021-04-07,0.354156
2021-04-08,0.353123
2021-04-09,0.352676
2021-04-12,0.353172
2021-04-13,0.351683
2021-04-14,0.353237
2021-04-15,0.352345
2021-04-16,0.352576
2021-04-19,0.352355
2021-04-20,0.352847
2021-04-21,0.353859
2021-04-22,0.355144
2021-04-23,0.354906
2021-04-26,0.354826
2021-04-27,0.355652
2021-04-28,0.355484
2021-04-29,0.355490
2021-04-30,0.355067
2021-05-03,0.356658
2021-05-04,0.358399
2021-05-05,0.359172
2021-05-06,0.358099
2021-05-07,0.359333
2021-05-10,0.361542
2021-05-11,0.360436
2021-05-12,0.360018
2021-05-13,0.360973
2021-05-14,0.361056
2021-05-17,0.361383
2021-05-18,0.361688
2021-05-19,0.360191
2021-05-20,0.359197
2021-05-21,0.359792
2021-05-24,0.358441
2021-05-25,0.357527
2021-05-26,0.357985
2021-05-27,0.359967
2021-05-28,0.359789
2021-06-01,0.361175
2021-06-02,0.360915
2021-06-03,0.361845
2021-06-04,0.360598
2021-06-07,0.359966
2021-06-08,0.360394
2021-06-09,0.359623
2021-06-10,0.358266
2021-06-11,0.358547
2021-06-14,0.356439
2021-06-15,0.357283
2021-06-16,0.357099
2021-06-17,0.353561
2021-06-18,0.353408
2021-06-21,0.354204
2021-06-22,0.353057
2021-06-23,0.352818
2021-06-24,0.353053
2021-06-25,0.354352
2021-06-28,0.352177
2021-06-29,0.351785
2021-06-30,0.352439
2021-07-01,0.352545
2021-07-02,0.350814
2021-07-06,0.348708
2021-07-07,0.348094
2021-07-08,0.347227
2021-07-09,0.348952
2021-07-12,0.348691
2021-07-13,0.346734
2021-07-14,0.345705
2021-07-15,0.346030
2021-07-16,0.345910
2021-07-19,0.345031
2021-07-20,0.346642
2021-07-21,0.347304
2021-07-22,0.345457
2021-07-23,0.345022
2021-07-26,0.345061
2021-07-27,0.346037
2021-07-28,0.346372
2021-07-29,0.347388
2021-07-30,0.348271
2021-08-02,0.348343
2021-08-03,0.348280
2021-08-04,0.347133
2021-08-05,0.347301
2021-08-06,0.348233
2021-08-09,0.347633
2021-08-10,0.348872
2021-08-11,0.350223
2021-08-12,0.349061
2021-08-13,0.348355
2021-08-16,0.347592
2021-08-17,0.347162
2021-08-18,0.347238
2021-08-19,0.345941
2021-08-20,0.345953
2021-08-23,0.345369
2021-08-24,0.346397
2021-08-25,0.347519
2021-08-26,0.347060
2021-08-27,0.347743
2021-08-30,0.345650
2021-08-31,0.346350
2021-09-01,0.346059
2021-09-02,0.347028
2021-09-03,0.346507
2021-09-07,0.344529
2021-09-08,0.344787
2021-09-09,0.345317
2021-09-10,0.345611
2021-09-13,0.345828
2021-09-14,0.345137
2021-09-15,0.345245
2021-09-16,0.345271
2021-09-17,0.346836
2021-09-20,0.346259
2021-09-21,0.345340
2021-09-22,0.345621
2021-09-23,0.346558
2021-09-24,0.346527
2021-09-27,0.348541
2021-09-28,0.350460
2021-09-29,0.350593
2021-09-30,0.349322
2021-10-01,0.349484
2021-10-04,0.352115
2021-10-05,0.351082
2021-10-06,0.349828
2021-10-07,0.349714
2021-10-08,0.349876
2021-10-11,0.350262
2021-10-12,0.351251
2021-10-13,0.350392
2021-10-14,0.350475
2021-10-15,0.349240
2021-10-18,0.348237
2021-10-19,0.347415
2021-10-20,0.348715
2021-10-21,0.348473
2021-10-22,0.349942
2021-10-25,0.348647
2021-10-26,0.347867
2021-10-27,0.344687
2021-10-28,0.344937
2021-10-29,0.343621
2021-11-01,0.345643
2021-11-02,0.345303
2021-11-03,0.345207
2021-11-04,0.342836
2021-11-05,0.344257
2021-11-08,0.344514
2021-11-09,0.345572
2021-11-10,0.346115
2021-11-11,0.346772
2021-11-12,0.345873
2021-11-15,0.346434
2021-11-16,0.345587
2021-11-17,0.344398
2021-11-18,0.342020
2021-11-19,0.340448
2021-11-22,0.342165
2021-11-23,0.343039
2021-11-24,0.342381
2021-11-26,0.341527
2021-11-29,0.339919
2021-11-30,0.337056
2021-12-01,0.336671
2021-12-02,0.339740
2021-12-03,0.340604
