date,value
2016-07-28,0.147068
2016-07-29,0.146232
2016-08-01,0.146769
2016-08-02,0.145767
2016-08-03,0.145712
2016-08-04,0.146597
2016-08-05,0.147103
2016-08-08,0.147191
2016-08-09,0.148089
2016-08-10,0.147468
2016-08-11,0.147382
2016-08-12,0.148128
2016-08-15,0.149368
2016-08-16,0.149271
2016-08-17,0.148670
2016-08-18,0.149479
2016-08-19,0.150476
2016-08-22,0.150529
2016-08-23,0.150957
2016-08-24,0.150539
2016-08-25,0.151148
2016-08-26,0.152078
2016-08-29,0.151859
2016-08-30,0.151858
2016-08-31,0.152291
2016-09-01,0.153687
2016-09-02,0.152860
2016-09-06,0.152376
2016-09-07,0.151386
2016-09-08,0.151435
2016-09-09,0.149522
2016-09-12,0.150435
2016-09-13,0.150964
2016-09-14,0.152287
2016-09-15,0.154520
2016-09-16,0.155973
2016-09-19,0.156483
2016-09-20,0.155890
2016-09-21,0.156288
2016-09-22,0.156046
2016-09-23,0.155077
2016-09-26,0.154896
2016-09-27,0.156469
2016-09-28,0.155904
2016-09-29,0.159260
2016-09-30,0.160587
2016-10-03,0.159723
2016-10-04,0.159866
2016-10-05,0.160390
2016-10-06,0.161206
2016-10-07,0.161877
2016-10-10,0.160529
2016-10-11,0.159233
2016-10-12,0.159024
2016-10-13,0.157716
2016-10-14,0.158643
2016-10-17,0.158537
2016-10-18,0.159328
2016-10-19,0.157271
2016-10-20,0.158944
2016-10-21,0.158660
2016-10-24,0.160012
2016-10-25,0.160106
2016-10-26,0.159961
2016-10-27,0.159919
2016-10-28,0.159476
2016-10-31,0.160598
2016-11-01,0.160277
2016-11-02,0.160246
2016-11-03,0.160312
2016-11-04,0.159650
2016-11-07,0.160896
2016-11-08,0.160455
2016-11-09,0.157501
2016-11-10,0.154181
2016-11-11,0.158396
2016-11-14,0.156563
2016-11-15,0.157939
2016-11-16,0.159476
2016-11-17,0.159665
2016-11-18,0.160938
2016-11-21,0.160777
2016-11-22,0.162322
2016-11-23,0.161985
2016-11-25,0.161859
2016-11-28,0.162214
2016-11-29,0.161287
2016-11-30,0.161222
2016-12-01,0.154119
2016-12-02,0.156523
2016-12-05,0.157149
2016-12-06,0.158367
2016-12-07,0.159439
2016-12-08,0.160004
2016-12-09,0.158227
2016-12-12,0.157746
2016-12-13,0.159488
2016-12-14,0.159089
2016-12-15,0.160972
2016-12-16,0.160149
2016-12-19,0.160489
2016-12-20,0.160115
2016-12-21,0.160407
2016-12-22,0.161505
2016-12-23,0.162022
2016-12-27,0.162991
2016-12-28,0.161631
2016-12-29,0.161712
2016-12-30,0.160247
2017-01-03,0.159297
2017-01-04,0.158862
2017-01-05,0.158061
2017-01-06,0.158312
2017-01-09,0.160669
2017-01-10,0.161287
2017-01-11,0.161515
2017-01-12,0.159228
2017-01-13,0.161220
2017-01-17,0.159890
2017-01-18,0.162359
2017-01-19,0.161724
2017-01-20,0.162675
2017-01-23,0.161663
2017-01-24,0.163774
2017-01-25,0.164373
2017-01-26,0.163280
2017-01-27,0.165633
2017-01-30,0.165876
2017-01-31,0.163583
2017-02-01,0.165188
2017-02-02,0.165254
2017-02-03,0.164843
2017-02-06,0.164941
2017-02-07,0.165633
2017-02-08,0.165591
2017-02-09,0.163183
2017-02-10,0.162714
2017-02-13,0.163960
2017-02-14,0.162045
2017-02-15,0.162864
2017-02-16,0.163620
2017-02-17,0.163958
2017-02-21,0.164531
2017-02-22,0.163958
2017-02-23,0.162028
2017-02-24,0.162055
2017-02-27,0.162583
2017-02-28,0.161522
2017-03-01,0.161148
2017-03-02,0.160742
2017-03-03,0.161207
2017-03-06,0.161752
2017-03-07,0.162637
2017-03-08,0.163109
2017-03-09,0.162965
2017-03-10,0.163932
2017-03-13,0.164648
2017-03-14,0.164690
2017-03-15,0.164763
2017-03-16,0.165213
2017-03-17,0.166667
2017-03-20,0.167875
2017-03-21,0.166838
2017-03-22,0.168068
2017-03-23,0.167735
2017-03-24,0.169182
2017-03-27,0.170127
2017-03-28,0.169216
2017-03-29,0.168379
2017-03-30,0.168691
2017-03-31,0.169063
2017-04-03,0.168954
2017-04-04,0.168252
2017-04-05,0.167753
2017-04-06,0.167367
2017-04-07,0.168197
2017-04-10,0.166610
2017-04-11,0.165553
2017-04-12,0.164124
2017-04-13,0.163971
2017-04-17,0.164301
2017-04-18,0.165455
2017-04-19,0.166660
2017-04-20,0.167694
2017-04-21,0.167548
2017-04-24,0.168128
2017-04-25,0.168833
2017-04-26,0.167659
2017-04-27,0.169761
2017-04-28,0.167381
2017-05-01,0.168699
2017-05-02,0.167735
2017-05-03,0.168903
2017-05-04,0.168537
2017-05-05,0.168544
2017-05-08,0.168155
2017-05-09,0.170001
2017-05-10,0.171843
2017-05-11,0.172571
2017-05-12,0.173341
2017-05-15,0.174303
2017-05-16,0.176545
2017-05-17,0.172971
2017-05-18,0.174832
2017-05-19,0.175717
2017-05-22,0.176499
2017-05-23,0.175734
2017-05-24,0.176094
2017-05-25,0.176456
2017-05-26,0.176823
2017-05-30,0.178240
2017-05-31,0.178077
2017-06-01,0.177001
2017-06-02,0.177786
2017-06-05,0.178388
2017-06-06,0.179372
2017-06-07,0.180374
2017-06-08,0.182665
2017-06-09,0.176020
2017-06-12,0.174988
2017-06-13,0.175261
2017-06-14,0.173968
2017-06-15,0.172704
2017-06-16,0.173405
2017-06-19,0.175018
2017-06-20,0.174005
2017-06-21,0.176044
2017-06-22,0.175671
2017-06-23,0.176181
2017-06-26,0.175387
2017-06-27,0.171757
2017-06-28,0.172697
2017-06-29,0.170313
2017-06-30,0.169272
2017-07-03,0.167045
2017-07-05,0.169832
2017-07-06,0.170671
2017-07-07,0.171843
2017-07-10,0.173433
2017-07-11,0.174945
2017-07-12,0.176140
2017-07-13,0.175436
2017-07-14,0.176780
2017-07-17,0.176312
2017-07-18,0.176891
2017-07-19,0.177679
2017-07-20,0.177985
2017-07-21,0.177151
2017-07-24,0.176627
2017-07-25,0.175713
2017-07-26,0.177565
2017-07-27,0.175485
2017-07-28,0.174861
2017-07-31,0.173927
2017-08-01,0.174288
2017-08-02,0.173254
2017-08-03,0.172983
2017-08-04,0.173174
2017-08-07,0.175899
