date,value
1994-05-04,119.03
1994-05-05,118.27
1994-05-06,117.69
1994-05-09,115.61
1994-05-10,117.44
1994-05-11,115.35
1994-05-12,114.92
1994-05-13,113.58
1994-05-16,111.24
1994-05-17,110.76
1994-05-18,115.71
1994-05-19,119.01
1994-05-20,118.61
1994-05-23,117.89
1994-05-24,119.10
1994-05-25,119.08
1994-05-26,117.92
1994-05-27,118.42
1994-05-31,121.78
1994-06-01,128.24
1994-06-02,128.30
1994-06-03,126.96
1994-06-06,126.25
1994-06-07,123.14
1994-06-08,117.71
1994-06-09,115.61
1994-06-10,118.83
1994-06-13,118.49
1994-06-14,121.76
1994-06-15,122.11
1994-06-16,121.83
1994-06-17,119.56
1994-06-20,117.19
1994-06-21,114.67
1994-06-22,117.86
1994-06-23,113.99
1994-06-24,114.18
1994-06-27,118.17
1994-06-28,120.54
1994-06-29,120.96
1994-06-30,119.46
1994-07-01,120.13
1994-07-05,119.93
1994-07-06,119.00
1994-07-07,123.46
1994-07-08,125.63
1994-07-11,125.68
1994-07-12,127.52
1994-07-13,130.51
1994-07-14,130.32
1994-07-15,124.58
1994-07-18,124.10
1994-07-19,121.14
1994-07-20,118.61
1994-07-21,118.59
1994-07-22,120.04
1994-07-25,119.08
1994-07-26,118.29
1994-07-27,116.88
1994-07-28,118.10
1994-07-29,122.46
1994-08-01,124.30
1994-08-02,124.70
1994-08-03,124.79
1994-08-04,123.42
1994-08-05,124.19
1994-08-08,124.71
1994-08-09,126.72
1994-08-10,131.23
1994-08-11,131.78
1994-08-12,131.85
1994-08-15,132.25
1994-08-16,134.13
1994-08-17,135.76
1994-08-18,135.59
1994-08-19,135.49
1994-08-22,135.95
1994-08-23,136.07
1994-08-24,134.30
1994-08-25,136.51
1994-08-26,138.21
1994-08-29,137.46
1994-08-30,138.96
1994-08-31,134.90
1994-09-01,131.16
1994-09-02,130.95
1994-09-06,130.87
1994-09-07,133.02
1994-09-08,133.87
1994-09-09,131.93
1994-09-12,130.77
1994-09-13,132.45
1994-09-14,132.49
1994-09-15,136.14
1994-09-16,136.45
1994-09-19,135.57
1994-09-20,133.13
1994-09-21,131.10
1994-09-22,131.19
1994-09-23,129.99
1994-09-26,128.05
1994-09-27,128.65
1994-09-28,128.34
1994-09-29,129.19
1994-09-30,128.76
1994-10-03,125.56
1994-10-04,119.88
1994-10-05,120.64
1994-10-06,120.18
1994-10-07,122.72
1994-10-10,126.26
1994-10-11,128.20
1994-10-12,127.07
1994-10-13,126.12
1994-10-14,125.94
1994-10-17,126.26
1994-10-18,126.92
1994-10-19,130.21
1994-10-20,130.92
1994-10-21,131.90
1994-10-24,131.79
1994-10-25,131.34
1994-10-26,135.34
1994-10-27,137.79
1994-10-28,141.32
1994-10-31,141.77
1994-11-01,141.63
1994-11-02,143.30
1994-11-03,142.20
1994-11-04,139.65
1994-11-07,138.20
1994-11-08,141.55
1994-11-09,142.14
1994-11-10,140.12
1994-11-11,139.57
1994-11-14,143.10
1994-11-15,143.01
1994-11-16,142.80
1994-11-17,142.76
1994-11-18,143.27
1994-11-21,142.36
1994-11-22,137.02
1994-11-23,137.18
1994-11-25,139.22
1994-11-28,139.35
1994-11-29,141.66
1994-11-30,138.37
1994-12-01,135.86
1994-12-02,137.66
1994-12-05,140.88
1994-12-06,139.82
1994-12-07,138.51
1994-12-08,131.81
1994-12-09,134.29
1994-12-12,133.60
1994-12-13,133.11
1994-12-14,135.31
1994-12-15,135.68
1994-12-16,134.15
1994-12-19,132.12
1994-12-20,134.68
1994-12-21,136.32
1994-12-22,135.34
1994-12-23,136.79
1994-12-27,140.49
1994-12-28,139.91
1994-12-29,141.62
1994-12-30,140.09
1995-01-03,136.76
1995-01-04,136.52
1995-01-05,136.87
1995-01-06,137.73
1995-01-09,139.82
1995-01-10,144.40
1995-01-11,143.82
1995-01-12,146.06
1995-01-13,146.35
1995-01-16,147.48
1995-01-17,148.37
1995-01-18,149.04
1995-01-19,148.24
1995-01-20,145.96
1995-01-23,144.82
1995-01-24,146.87
1995-01-25,143.79
1995-01-26,141.35
1995-01-27,143.82
1995-01-30,139.79
1995-01-31,139.51
1995-02-01,142.07
1995-02-02,144.15
1995-02-03,145.99
1995-02-06,148.04
1995-02-07,147.29
1995-02-08,149.91
1995-02-09,153.01
1995-02-10,155.74
1995-02-13,155.60
1995-02-14,158.96
1995-02-15,159.59
1995-02-16,161.70
1995-02-17,156.79
1995-02-21,157.88
1995-02-22,158.97
1995-02-23,158.94
1995-02-24,158.82
1995-02-27,157.84
1995-02-28,162.16
1995-03-01,164.11
1995-03-02,164.49
1995-03-03,168.88
1995-03-06,170.54
1995-03-07,168.52
1995-03-08,167.73
1995-03-09,168.36
1995-03-10,168.82
1995-03-13,172.07
1995-03-14,174.52
1995-03-15,173.63
1995-03-16,172.41
1995-03-17,171.59
1995-03-20,174.88
1995-03-21,174.90
1995-03-22,174.32
1995-03-23,178.84
1995-03-24,181.74
1995-03-27,185.09
1995-03-28,185.68
1995-03-29,180.63
1995-03-30,175.51
1995-03-31,174.43
1995-04-03,177.13
1995-04-04,172.64
1995-04-05,174.42
1995-04-06,173.99
1995-04-07,177.76
1995-04-10,180.84
1995-04-11,181.08
1995-04-12,183.07
1995-04-13,187.74
1995-04-17,181.67
1995-04-18,181.47
1995-04-19,178.43
1995-04-20,178.80
1995-04-21,179.82
1995-04-24,188.29
1995-04-25,191.63
1995-04-26,196.07
1995-04-27,196.30
1995-04-28,197.25
1995-05-01,195.07
1995-05-02,194.66
1995-05-03,199.74
1995-05-04,202.24
1995-05-05,201.60
1995-05-08,204.32
1995-05-09,203.71
1995-05-10,202.29
1995-05-11,205.90
1995-05-12,208.35
1995-05-15,210.60
1995-05-16,213.24
1995-05-17,220.16
1995-05-18,220.41
1995-05-19,220.57
1995-05-22,225.60
1995-05-23,232.71
1995-05-24,226.80
1995-05-25,227.04
1995-05-26,222.07
1995-05-30,211.01
1995-05-31,214.07
1995-06-01,219.45
1995-06-02,223.85
1995-06-05,223.75
1995-06-06,218.99
1995-06-07,220.40
1995-06-08,224.42
1995-06-09,225.63
1995-06-12,223.80
1995-06-13,224.74
1995-06-14,229.22
1995-06-15,233.76
1995-06-16,235.10
1995-06-19,244.38
1995-06-20,250.11
1995-06-21,243.60
1995-06-22,250.34
1995-06-23,251.63
1995-06-26,245.62
1995-06-27,240.79
1995-06-28,238.17
1995-06-29,243.90
1995-06-30,244.01
1995-07-03,243.76
1995-07-05,244.80
1995-07-06,252.55
1995-07-07,263.21
1995-07-10,264.49
1995-07-11,260.55
1995-07-12,276.80
1995-07-13,278.64
1995-07-14,280.06
1995-07-17,282.45
1995-07-18,275.70
1995-07-19,262.54
1995-07-20,262.38
1995-07-21,263.48
1995-07-24,276.12
1995-07-25,283.25
1995-07-26,284.14
1995-07-27,287.40
1995-07-28,283.94
1995-07-31,282.15
1995-08-01,273.52
1995-08-02,262.36
1995-08-03,261.97
1995-08-04,265.02
1995-08-07,265.45
1995-08-08,267.61
1995-08-09,271.55
1995-08-10,268.36
1995-08-11,273.94
1995-08-14,282.05
1995-08-15,286.07
1995-08-16,299.78
1995-08-17,296.38
1995-08-18,293.79
1995-08-21,275.37
1995-08-22,284.09
1995-08-23,287.12
1995-08-24,282.68
1995-08-25,277.56
1995-08-28,269.11
1995-08-29,269.41
1995-08-30,270.44
1995-08-31,275.63
1995-09-01,274.01
1995-09-05,288.83
1995-09-06,293.54
1995-09-07,292.70
1995-09-08,297.39
1995-09-11,301.65
1995-09-12,296.57
1995-09-13,295.15
1995-09-14,285.10
1995-09-15,277.84
1995-09-18,284.42
1995-09-19,291.59
1995-09-20,290.14
1995-09-21,283.72
1995-09-22,280.62
1995-09-25,274.38
1995-09-26,270.37
1995-09-27,272.31
1995-09-28,284.01
1995-09-29,275.08
1995-10-02,270.49
1995-10-03,266.59
1995-10-04,248.86
1995-10-05,256.40
1995-10-06,251.65
1995-10-09,237.51
1995-10-10,242.06
1995-10-11,247.93
1995-10-12,252.45
1995-10-13,245.58
1995-10-16,243.02
1995-10-17,261.35
1995-10-18,263.61
1995-10-19,261.00
1995-10-20,251.90
1995-10-23,258.99
1995-10-24,253.76
1995-10-25,247.42
1995-10-26,249.23
1995-10-27,251.06
1995-10-30,258.48
1995-10-31,254.60
1995-11-01,250.61
1995-11-02,256.18
1995-11-03,259.92
1995-11-06,254.71
1995-11-07,240.69
1995-11-08,234.69
1995-11-09,248.75
1995-11-10,248.89
1995-11-13,241.82
1995-11-14,231.59
1995-11-15,232.18
1995-11-16,231.32
1995-11-17,229.19
1995-11-20,217.78
1995-11-21,214.61
1995-11-22,209.60
1995-11-24,216.94
1995-11-27,214.06
1995-11-28,230.19
1995-11-29,232.68
1995-11-30,227.51
1995-12-01,222.47
1995-12-04,227.11
1995-12-05,221.49
1995-12-06,217.26
1995-12-07,215.90
1995-12-08,222.13
1995-12-11,222.08
1995-12-12,215.06
1995-12-13,215.70
1995-12-14,207.45
1995-12-15,200.61
1995-12-18,193.46
1995-12-19,205.32
1995-12-20,200.91
1995-12-21,203.38
1995-12-22,205.75
1995-12-26,206.60
1995-12-27,204.25
1995-12-28,200.09
1995-12-29,200.66
1996-01-02,201.88
1996-01-03,193.82
1996-01-04,196.62
1996-01-05,196.16
1996-01-08,194.59
1996-01-09,179.60
1996-01-10,176.80
1996-01-11,184.98
1996-01-12,179.77
1996-01-15,165.77
1996-01-16,172.67
1996-01-17,170.30
1996-01-18,171.75
1996-01-19,173.87
1996-01-22,179.53
1996-01-23,179.44
1996-01-24,191.22
1996-01-25,187.65
1996-01-26,187.89
1996-01-29,184.52
1996-01-30,186.30
1996-01-31,186.73
1996-02-01,194.13
1996-02-02,195.97
1996-02-05,206.49
1996-02-06,211.12
1996-02-07,203.39
1996-02-08,201.82
1996-02-09,199.63
1996-02-12,199.91
1996-02-13,193.87
1996-02-14,194.27
1996-02-15,191.72
1996-02-16,193.41
1996-02-20,194.71
1996-02-21,198.37
1996-02-22,207.43
1996-02-23,205.03
1996-02-26,203.49
1996-02-27,196.91
1996-02-28,196.45
1996-02-29,186.18
1996-03-01,178.76
1996-03-04,176.52
1996-03-05,180.18
1996-03-06,171.61
1996-03-07,170.93
1996-03-08,172.71
1996-03-11,174.52
1996-03-12,172.71
1996-03-13,175.51
1996-03-14,173.34
1996-03-15,182.83
1996-03-18,188.98
1996-03-19,186.71
1996-03-20,179.97
1996-03-21,179.07
1996-03-22,179.07
1996-03-25,173.88
1996-03-26,175.34
1996-03-27,177.46
1996-03-28,175.58
1996-03-29,175.99
1996-04-01,176.18
1996-04-02,174.71
1996-04-03,179.05
1996-04-04,178.26
1996-04-08,186.06
1996-04-09,184.66
1996-04-10,187.80
1996-04-11,183.34
1996-04-12,180.21
1996-04-15,183.95
1996-04-16,191.75
1996-04-17,188.42
1996-04-18,194.54
1996-04-19,193.05
1996-04-22,195.99
1996-04-23,202.37
1996-04-24,211.99
1996-04-25,213.99
1996-04-26,212.47
1996-04-29,206.86
1996-04-30,206.09
1996-05-01,208.13
1996-05-02,210.16
1996-05-03,211.92
1996-05-06,211.60
1996-05-07,207.65
1996-05-08,208.86
1996-05-09,205.53
1996-05-10,204.59
1996-05-13,213.89
1996-05-14,215.89
1996-05-15,212.42
1996-05-16,213.00
1996-05-17,212.57
1996-05-20,211.75
1996-05-21,206.01
1996-05-22,202.98
1996-05-23,200.50
1996-05-24,197.63
1996-05-28,200.54
1996-05-29,197.68
1996-05-30,202.71
1996-05-31,205.92
1996-06-03,202.33
1996-06-04,201.27
1996-06-05,199.03
1996-06-06,193.24
1996-06-07,198.31
1996-06-10,193.92
1996-06-11,193.89
1996-06-12,197.87
1996-06-13,195.31
1996-06-14,191.32
1996-06-17,188.86
1996-06-18,178.98
1996-06-19,178.93
1996-06-20,179.68
1996-06-21,176.42
1996-06-24,177.31
1996-06-25,174.50
1996-06-26,170.83
1996-06-27,174.98
1996-06-28,174.71
1996-07-01,180.57
1996-07-02,177.77
1996-07-03,176.71
1996-07-05,173.85
1996-07-08,173.68
1996-07-09,171.56
1996-07-10,166.88
1996-07-11,159.41
1996-07-12,158.67
1996-07-15,148.57
1996-07-16,150.21
1996-07-17,153.63
1996-07-18,156.43
1996-07-19,152.71
1996-07-22,149.97
1996-07-23,145.20
1996-07-24,143.80
1996-07-25,147.61
1996-07-26,156.74
1996-07-29,152.86
1996-07-30,156.86
1996-07-31,155.94
1996-08-01,159.41
1996-08-02,167.48
1996-08-05,163.82
1996-08-06,169.24
1996-08-07,178.61
1996-08-08,176.09
1996-08-09,172.09
1996-08-12,171.24
1996-08-13,166.35
1996-08-14,169.00
1996-08-15,170.09
1996-08-16,168.23
1996-08-19,167.94
1996-08-20,166.59
1996-08-21,170.59
1996-08-22,173.17
1996-08-23,170.64
1996-08-26,168.91
1996-08-27,170.64
1996-08-28,169.38
1996-08-29,171.20
1996-08-30,169.46
1996-09-03,169.15
1996-09-04,168.06
1996-09-05,160.62
1996-09-06,161.89
1996-09-09,161.39
1996-09-10,161.65
1996-09-11,162.57
1996-09-12,164.18
1996-09-13,168.02
1996-09-16,173.08
1996-09-17,181.87
1996-09-18,179.97
1996-09-19,184.16
1996-09-20,183.03
1996-09-23,180.69
1996-09-24,191.70
1996-09-25,193.17
1996-09-26,191.94
1996-09-27,189.10
1996-09-30,187.46
1996-10-01,183.36
1996-10-02,185.89
1996-10-03,184.11
1996-10-04,185.36
1996-10-07,189.29
1996-10-08,190.30
1996-10-09,195.65
1996-10-10,192.13
1996-10-11,195.70
1996-10-14,199.70
1996-10-15,199.56
1996-10-16,199.19
1996-10-17,197.19
1996-10-18,196.42
1996-10-21,192.30
1996-10-22,189.10
1996-10-23,193.48
1996-10-24,189.53
1996-10-25,188.30
1996-10-28,187.29
1996-10-29,183.46
1996-10-30,185.05
1996-10-31,187.10
1996-11-01,188.04
1996-11-04,190.93
1996-11-05,195.87
1996-11-06,202.66
1996-11-07,207.34
1996-11-08,207.31
