date,value
2020-07-27,1.911763
2020-07-28,1.886595
2020-07-29,1.913212
2020-07-30,1.893064
2020-07-31,1.908530
2020-08-03,1.934337
2020-08-04,1.923357
2020-08-05,1.951632
2020-08-06,1.954739
2020-08-07,1.969858
2020-08-10,1.984445
2020-08-11,1.992340
2020-08-12,2.038545
2020-08-13,2.056843
2020-08-14,2.064473
2020-08-17,2.065285
2020-08-18,2.055604
2020-08-19,2.059851
2020-08-20,2.047399
2020-08-21,2.042236
2020-08-24,2.067392
2020-08-25,2.089819
2020-08-26,2.119186
2020-08-27,2.160325
2020-08-28,2.175308
2020-08-31,2.154824
2020-09-01,2.151776
2020-09-02,2.162108
2020-09-03,2.081972
2020-09-04,2.104484
2020-09-08,2.034927
2020-09-09,2.081190
2020-09-10,2.034848
2020-09-11,2.031134
2020-09-14,2.057139
2020-09-15,2.073074
2020-09-16,2.070966
2020-09-17,2.046740
2020-09-18,2.020971
2020-09-21,1.989293
2020-09-22,2.010287
2020-09-23,1.961520
2020-09-24,1.959600
2020-09-25,1.990976
2020-09-28,2.029271
2020-09-29,2.016988
2020-09-30,2.050701
2020-10-01,2.063418
2020-10-02,2.050995
2020-10-05,2.129105
2020-10-06,2.088030
2020-10-07,2.139395
2020-10-08,2.146631
2020-10-09,2.166396
2020-10-12,2.194495
2020-10-13,2.164946
2020-10-14,2.146016
2020-10-15,2.146537
2020-10-16,2.151388
2020-10-19,2.126617
2020-10-20,2.156774
2020-10-21,2.158254
2020-10-22,2.195407
2020-10-23,2.187727
2020-10-26,2.128614
2020-10-27,2.106751
2020-10-28,2.032854
2020-10-29,2.073267
2020-10-30,2.073740
2020-11-02,2.082750
2020-11-03,2.130978
2020-11-04,2.132232
2020-11-05,2.170974
2020-11-06,2.195636
2020-11-09,2.271155
2020-11-10,2.281058
2020-11-11,2.290292
2020-11-12,2.230206
2020-11-13,2.263080
2020-11-16,2.296695
2020-11-17,2.270578
2020-11-18,2.236908
2020-11-19,2.235445
2020-11-20,2.200427
2020-11-23,2.224220
2020-11-24,2.281479
2020-11-25,2.285291
2020-11-27,2.270287
2020-11-30,2.263510
2020-12-01,2.322818
2020-12-02,2.347180
2020-12-03,2.327515
2020-12-04,2.383014
2020-12-07,2.356653
2020-12-08,2.352657
2020-12-09,2.341084
2020-12-10,2.317909
2020-12-11,2.306307
2020-12-14,2.303800
2020-12-15,2.341718
2020-12-16,2.351857
2020-12-17,2.374657
2020-12-18,2.359963
2020-12-21,2.344551
2020-12-22,2.326952
2020-12-23,2.346730
2020-12-24,2.345336
2020-12-28,2.364607
2020-12-29,2.363654
2020-12-30,2.361616
2020-12-31,2.369964
2021-01-04,2.341151
2021-01-05,2.374804
2021-01-06,2.440337
2021-01-07,2.495785
2021-01-08,2.517931
2021-01-11,2.507894
2021-01-12,2.509126
2021-01-13,2.488061
2021-01-14,2.502612
2021-01-15,2.473889
2021-01-19,2.484904
2021-01-20,2.517727
2021-01-21,2.537702
2021-01-22,2.521058
2021-01-25,2.501855
2021-01-26,2.501662
2021-01-27,2.432986
2021-01-28,2.468061
2021-01-29,2.433076
2021-02-01,2.474853
2021-02-02,2.525176
2021-02-03,2.551432
2021-02-04,2.586124
2021-02-05,2.616605
2021-02-08,2.627086
2021-02-09,2.622979
2021-02-10,2.604420
2021-02-11,2.622764
2021-02-12,2.668570
2021-02-16,2.706195
2021-02-17,2.691912
2021-02-18,2.690375
2021-02-19,2.722767
2021-02-22,2.722504
2021-02-23,2.731350
2021-02-24,2.781102
2021-02-25,2.758044
2021-02-26,2.655240
2021-03-01,2.761432
2021-03-02,2.739386
2021-03-03,2.733677
2021-03-04,2.717202
2021-03-05,2.760678
2021-03-08,2.767652
2021-03-09,2.769710
2021-03-10,2.782711
2021-03-11,2.831295
2021-03-12,2.895994
2021-03-15,2.898918
2021-03-16,2.904783
2021-03-17,2.936724
2021-03-18,2.922876
2021-03-19,2.889961
2021-03-22,2.881744
2021-03-23,2.834692
2021-03-24,2.804719
2021-03-25,2.840210
2021-03-26,2.896506
2021-03-29,2.920880
2021-03-30,2.898767
2021-03-31,2.920304
2021-04-01,2.913442
2021-04-05,2.966849
2021-04-06,2.946345
2021-04-07,2.969400
2021-04-08,2.960864
2021-04-09,2.991856
2021-04-12,2.993781
2021-04-13,2.980215
2021-04-14,2.979352
2021-04-15,2.962514
2021-04-16,2.997199
2021-04-19,2.990388
2021-04-20,2.953920
2021-04-21,2.977032
2021-04-22,2.938150
2021-04-23,2.975899
2021-04-26,2.984915
2021-04-27,3.009735
2021-04-28,3.007892
2021-04-29,3.036726
2021-04-30,3.009085
2021-05-03,3.020296
2021-05-04,2.980065
2021-05-05,2.975486
2021-05-06,2.995567
2021-05-07,3.031169
2021-05-10,3.031991
2021-05-11,3.022621
2021-05-12,2.989384
2021-05-13,3.019207
2021-05-14,3.039565
2021-05-17,3.036211
2021-05-18,3.019604
2021-05-19,3.019099
2021-05-20,3.024003
2021-05-21,3.014382
2021-05-24,3.032816
2021-05-25,2.999570
2021-05-26,3.008400
2021-05-27,3.024378
2021-05-28,3.034383
2021-06-01,3.035628
2021-06-02,3.034911
2021-06-03,3.034455
2021-06-04,3.021305
2021-06-07,3.027101
2021-06-08,3.006372
2021-06-09,2.975999
2021-06-10,2.971376
2021-06-11,2.981977
2021-06-14,3.012075
2021-06-15,3.009322
2021-06-16,2.994041
2021-06-17,2.950364
2021-06-18,2.846774
2021-06-21,2.935603
2021-06-22,2.945924
2021-06-23,2.950675
2021-06-24,2.963157
2021-06-25,3.002921
2021-06-28,2.979716
2021-06-29,2.977202
2021-06-30,2.965329
2021-07-01,2.986990
2021-07-02,2.991346
2021-07-06,2.950211
2021-07-07,2.935279
2021-07-08,2.900902
2021-07-09,2.972803
2021-07-12,2.987323
2021-07-13,3.000964
2021-07-14,2.970927
2021-07-15,2.928069
2021-07-16,2.911515
2021-07-19,2.803380
2021-07-20,2.873667
2021-07-21,2.932573
2021-07-22,2.913500
2021-07-23,2.960514
2021-07-26,2.977281
2021-07-27,2.933703
2021-07-28,2.932799
2021-07-29,2.961823
2021-07-30,2.933369
2021-08-02,2.904746
2021-08-03,2.927159
2021-08-04,2.906677
2021-08-05,2.939215
2021-08-06,2.994451
2021-08-09,3.001969
2021-08-10,3.019989
2021-08-11,3.029182
2021-08-12,3.042762
2021-08-13,3.002053
2021-08-16,3.001847
2021-08-17,2.980766
2021-08-18,2.940887
2021-08-19,2.924294
2021-08-20,2.945784
2021-08-23,2.973212
2021-08-24,2.999464
2021-08-25,3.033072
2021-08-26,3.005117
2021-08-27,3.012212
2021-08-30,3.018321
2021-08-31,3.032364
2021-09-01,3.034495
2021-09-02,3.030660
2021-09-03,3.057224
2021-09-07,3.072056
2021-09-08,3.048678
2021-09-09,2.999800
2021-09-10,3.001415
2021-09-13,2.989157
2021-09-14,2.940456
2021-09-15,2.974399
2021-09-16,2.982923
2021-09-17,2.958675
2021-09-20,2.872907
2021-09-21,2.872768
2021-09-22,2.884862
2021-09-23,2.986352
2021-09-24,3.020893
2021-09-27,3.024047
2021-09-28,3.010274
2021-09-29,3.008381
2021-09-30,2.972153
2021-10-01,2.987856
