date,value
2002-01-31,-14.36
2002-02-28,-25.40
2002-03-31,-4.64
2002-04-30,4.59
2002-05-31,16.29
2002-06-30,19.65
2002-07-31,30.80
2002-08-31,39.02
2002-09-30,39.85
2002-10-31,10.46
2002-11-30,18.29
2002-12-31,22.49
2003-01-31,8.50
2003-02-28,21.29
2003-03-31,19.82
2003-04-30,17.42
2003-05-31,11.99
2003-06-30,9.48
2003-07-31,14.05
2003-08-31,25.13
2003-09-30,23.79
2003-10-31,32.58
2003-11-30,34.07
2003-12-31,31.49
2004-01-31,35.81
2004-02-29,58.70
2004-03-31,28.77
2004-04-30,37.01
2004-05-31,55.92
2004-06-30,41.41
2004-07-31,43.86
2004-08-31,24.05
2004-09-30,27.62
2004-10-31,25.64
2004-11-30,15.41
2004-12-31,8.28
2005-01-31,27.54
2005-02-28,-16.49
2005-03-31,1.75
2005-04-30,8.91
2005-05-31,-6.98
2005-06-30,0.20
2005-07-31,5.55
2005-08-31,9.18
2005-09-30,13.20
2005-10-31,22.14
2005-11-30,21.75
2005-12-31,35.55
2006-01-31,17.05
2006-02-28,43.55
2006-03-31,39.03
2006-04-30,34.29
2006-05-31,35.16
2006-06-30,39.09
2006-07-31,36.14
2006-08-31,30.95
2006-09-30,29.69
2006-10-31,13.63
2006-11-30,12.41
2006-12-31,12.99
2007-01-31,15.43
2007-02-28,-4.09
2007-03-31,12.34
2007-04-30,3.95
2007-05-31,-1.08
2007-06-30,6.12
2007-07-31,3.92
2007-08-31,7.91
2007-09-30,6.49
2007-10-31,4.54
2007-11-30,6.05
2007-12-31,3.57
2008-01-31,5.47
2008-02-29,14.30
2008-03-31,7.87
2008-04-30,4.70
2008-05-31,18.42
2008-06-30,9.97
2008-07-31,7.21
2008-08-31,14.31
2008-09-30,-1.36
2008-10-31,-4.67
2008-11-30,-23.97
2008-12-31,-43.34
2009-01-31,-45.48
2009-02-28,-29.75
2009-03-31,-34.27
2009-04-30,-19.23
2009-05-31,-18.11
2009-06-30,-16.75
2009-07-31,-13.61
2009-08-31,-13.59
2009-09-30,-3.52
2009-10-31,6.57
2009-11-30,38.91
2009-12-31,80.01
2010-01-31,115.01
2010-02-28,60.59
2010-03-31,66.50
2010-04-30,43.34
2010-05-31,48.88
2010-06-30,38.30
2010-07-31,35.75
2010-08-31,25.34
2010-09-30,21.60
2010-10-31,26.06
2010-11-30,16.34
2010-12-31,21.24
2011-01-31,18.96
2011-02-28,23.87
2011-03-31,13.52
2011-04-30,22.67
2011-05-31,9.79
2011-06-30,8.20
2011-07-31,15.26
2011-08-31,3.22
2011-09-30,2.76
2011-10-31,1.52
2011-11-30,-1.96
2011-12-31,0.45
2012-01-31,-23.26
2012-02-29,6.45
2012-03-31,0.98
2012-04-30,-5.67
2012-05-31,-2.45
2012-06-30,3.48
2012-07-31,-7.03
2012-08-31,1.86
2012-09-30,10.53
2012-10-31,-1.18
2012-11-30,8.97
2012-12-31,7.08
2013-01-31,25.25
2013-02-28,-15.26
2013-03-31,7.14
2013-04-30,4.60
2013-05-31,12.62
2013-06-30,11.81
2013-07-31,4.28
2013-08-31,7.24
2013-09-30,1.89
2013-10-31,8.38
2013-11-30,12.33
2013-12-31,7.71
2014-01-31,7.79
2014-02-28,19.00
2014-03-31,6.29
2014-04-30,12.57
2014-05-31,8.01
2014-06-30,7.20
2014-07-31,14.38
2014-08-31,19.98
2014-09-30,12.40
2014-10-31,16.67
2014-11-30,9.91
2014-12-31,10.06
2015-01-31,12.90
2015-02-28,5.60
2015-03-31,0.85
2015-04-30,-3.46
2015-05-31,-5.34
2015-06-30,-10.93
2015-07-31,-2.27
2015-08-31,-11.83
2015-09-30,-10.16
2015-10-31,-4.72
2015-11-30,-12.35
2015-12-31,-8.71
2016-01-31,-6.60
2016-02-29,-5.70
2016-03-31,-1.34
2016-04-30,-3.46
2016-05-31,-1.60
2016-06-30,11.49
2016-07-31,5.61
2016-08-31,14.36
2016-09-30,16.76
2016-10-31,15.16
2016-11-30,26.95
2016-12-31,24.28
2017-01-31,10.09
2017-02-28,29.58
2017-03-31,19.98
2017-04-30,10.62
2017-05-31,7.51
2017-06-30,19.45
2017-07-31,9.44
2017-08-31,14.41
2017-09-30,20.73
2017-10-31,10.55
2017-11-30,16.02
2017-12-31,20.47
2018-01-31,11.65
2018-02-28,-5.41
2018-03-31,21.48
2018-04-30,12.09
2018-05-31,15.85
2018-06-30,-1.67
2018-07-31,7.21
2018-08-31,1.21
2018-09-30,-0.48
2018-10-31,1.00
2018-11-30,-5.67
2018-12-31,-9.87
2019-01-31,0.96
2019-02-28,-8.31
2019-03-31,-13.29
2019-04-30,-5.07
2019-05-31,0.47
2019-06-30,3.27
2019-07-31,1.82
2019-08-31,7.46
2019-09-30,2.45
2019-10-31,5.31
2019-11-30,10.02
2019-12-31,11.88
2020-01-31,2.85
2020-02-29,46.20
2020-03-31,18.14
2020-04-30,24.28
2020-05-31,13.23
2020-06-30,23.84
2020-07-31,15.33
2020-08-31,19.09
2020-09-30,26.09
2020-10-31,21.78
2020-11-30,18.96
2020-12-31,22.20
2021-01-31,47.49
2021-02-28,14.40
2021-03-31,24.50
2021-04-30,33.97
2021-05-31,29.57
2021-06-30,29.82
2021-07-31,33.87
2021-08-31,21.92
2021-09-30,26.85
2021-10-31,12.44
2021-11-30,26.56
2021-12-31,27.51
2022-01-31,19.70
2022-02-28,46.55
2022-03-31,35.61
2022-04-30,27.46
2022-05-31,25.91
2022-06-30,18.95
2022-07-31,15.58
2022-08-31,12.01
2022-09-30,2.44
2022-10-31,15.90
2022-11-30,-4.88
2022-12-31,-1.33
2023-01-31,-20.07
2023-02-28,-17.75
2023-03-31,-14.66
2023-04-30,-8.59
2023-05-31,-9.85
2023-06-30,-21.32
2023-07-31,-7.92
2023-08-31,-11.20
2023-09-30,-4.25
2023-10-31,-7.44
2023-11-30,-3.62
2023-12-31,-1.19
2024-01-31,6.70
2024-02-29,-10.44
2024-03-31,-5.59
2024-04-30,-17.78
2024-05-31,-10.99
2024-06-30,7.35
2024-07-31,-12.00
2024-08-31,0.12
2024-09-30,4.88
2024-10-31,5.92
2024-11-30,14.56
2024-12-31,8.55
2025-01-31,3.12
2025-02-28,24.57
2025-03-31,19.29
2025-04-30,26.84
2025-05-31,28.37
2025-06-30,31.12
2025-07-31,34.10
2025-08-31,34.56
2025-09-30,25.64
2025-10-31,22.23
2025-11-30,29.33
2025-12-31,24.13
2026-01-31,59.83
2026-02-28,24.55
2026-03-31,43.67
2026-04-30,38.75
2026-05-31,56.00
2026-06-30,32.79
