date,value
2004-04-07,6417.615
2004-04-08,5245.515
2004-04-09,-2071.869
2004-04-12,3712.530
2004-04-13,119.501
2004-04-14,-964.243
2004-04-15,-1225.702
2004-04-16,-2954.569
2004-04-19,-4221.807
2004-04-20,5004.490
2004-04-21,-4026.415
2004-04-22,8284.494
2004-04-23,2827.903
2004-04-26,4401.190
2004-04-27,-2141.064
2004-04-28,-1942.019
2004-04-29,-14232.386
2004-04-30,-23772.110
2004-05-03,-6599.853
2004-05-04,-1602.164
2004-05-05,-10616.479
2004-05-06,-3040.775
2004-05-07,-6692.982
2004-05-10,-10841.996
2004-05-11,-3974.926
2004-05-12,-365.782
2004-05-13,-4481.192
2004-05-14,-8820.099
2004-05-17,-9256.854
2004-05-18,-8407.234
2004-05-19,-3871.077
2004-05-20,-4401.102
2004-05-21,-1216.074
2004-05-24,80.286
2004-05-25,85.720
2004-05-26,4159.663
2004-05-27,1877.460
2004-05-28,8670.830
2004-05-31,-2752.802
2004-06-01,1223.342
2004-06-02,-3033.364
2004-06-03,-8141.041
2004-06-04,-285.113
2004-06-07,6324.232
2004-06-08,9828.905
2004-06-09,885.981
2004-06-10,-5639.781
2004-06-11,-8413.842
2004-06-14,-3795.057
2004-06-15,-3591.882
2004-06-16,622.387
2004-06-17,745.201
2004-06-18,-7219.384
2004-06-21,2079.953
2004-06-23,3366.168
2004-06-24,3172.726
2004-06-25,4329.058
2004-06-28,998.742
2004-06-29,2416.922
2004-06-30,9585.093
2004-07-01,963.560
2004-07-02,-8226.072
2004-07-05,-1662.934
2004-07-06,-34.827
2004-07-07,-127.316
2004-07-08,1687.173
2004-07-09,242.866
2004-07-12,14.295
2004-07-13,-399.764
2004-07-14,-795.622
2004-07-15,-5262.517
2004-07-16,777.877
2004-07-19,641.577
2004-07-20,2111.154
2004-07-21,-854.330
2004-07-22,-3619.815
2004-07-23,-3325.543
2004-07-26,-1880.944
2004-07-27,2885.488
2004-07-28,2979.874
2004-07-29,-1306.820
2004-07-30,5115.536
2004-08-02,416.029
2004-08-03,2596.919
2004-08-04,414.776
2004-08-05,1389.750
2004-08-06,-1033.876
2004-08-09,-403.890
2004-08-10,941.327
2004-08-11,1273.899
2004-08-12,-1017.817
2004-08-13,1323.864
2004-08-16,-1246.920
2004-08-17,515.781
2004-08-18,6472.901
2004-08-19,10612.675
2004-08-20,3919.427
2004-08-23,1986.853
2004-08-26,15067.906
2004-08-27,3954.339
2004-08-30,5147.441
2004-08-31,5151.424
2004-09-01,4997.718
2004-09-02,630.931
2004-09-03,-6276.785
2004-09-06,-417.832
2004-09-07,3246.184
2004-09-08,170.421
2004-09-09,-2027.992
2004-09-10,2203.306
2004-09-13,7768.114
2004-09-14,4349.330
2004-09-15,2040.676
2004-09-16,-1895.080
2004-09-17,-328.933
2004-09-20,4616.554
2004-09-21,5933.432
2004-09-22,4704.813
2004-09-23,433.615
2004-09-24,-3099.972
2004-09-27,-1062.506
2004-09-29,539.549
2004-09-30,6299.540
2004-10-01,4698.906
2004-10-04,15362.176
2004-10-05,8047.211
2004-10-06,11513.858
2004-10-07,4338.402
2004-10-08,3160.066
2004-10-11,1160.308
2004-10-12,-1275.656
2004-10-13,-1983.134
2004-10-14,-3698.402
2004-10-15,-2218.380
2004-10-18,1533.918
2004-10-19,1410.307
2004-10-20,-2668.872
2004-10-21,-3562.750
2004-10-22,2287.345
2004-10-26,-1453.131
2004-10-27,532.213
2004-10-28,1511.999
2004-10-29,8285.355
2004-11-01,4714.577
2004-11-02,5595.263
2004-11-03,12439.936
2004-11-04,10838.698
2004-11-05,13198.073
2004-11-08,8283.374
2004-11-09,7138.297
2004-11-10,5643.087
2004-11-11,2324.512
2004-11-12,6376.610
2004-11-15,9589.511
2004-11-16,5592.070
2004-11-17,11329.065
2004-11-18,11500.939
2004-11-19,4893.143
2004-11-22,-6549.071
2004-11-23,-1257.344
2004-11-24,990.469
2004-11-25,1637.558
2004-11-26,2268.498
2004-11-29,-957.114
2004-11-30,-1091.461
2004-12-01,-7558.081
2004-12-02,3786.790
2004-12-03,587.915
2004-12-06,-6757.821
2004-12-07,-3772.084
2004-12-08,-4607.950
2004-12-09,-7160.283
2004-12-10,-10247.819
2004-12-13,-370.019
2004-12-14,1044.049
2004-12-15,6718.413
2004-12-16,7016.920
2004-12-17,1802.767
2004-12-20,4396.709
2004-12-21,589.357
2004-12-22,1604.164
2004-12-23,1081.542
2004-12-24,2214.786
2004-12-27,420.601
2004-12-28,3701.714
2004-12-29,8524.338
2004-12-30,7338.463
2004-12-31,7057.277
2005-01-03,3595.846
2005-01-04,-126.644
2005-01-05,-6227.389
2005-01-06,-843.784
2005-01-07,-3176.761
2005-01-10,1096.523
2005-01-11,1980.587
2005-01-12,-2041.316
2005-01-13,-3142.727
2005-01-14,-2814.568
2005-01-17,4520.670
2005-01-18,661.261
2005-01-19,686.574
2005-01-20,-5639.468
2005-01-21,-1715.777
2005-01-24,-2336.915
2005-01-25,-1515.880
2005-01-26,3226.619
2005-01-27,1804.743
2005-01-28,2868.195
2005-01-31,7347.762
2005-02-01,12232.408
2005-02-02,14345.815
2005-02-03,7431.253
2005-02-14,20453.299
2005-02-15,12104.410
2005-02-16,5804.711
2005-02-17,3426.884
2005-02-18,7744.051
2005-02-21,7320.234
2005-02-22,3023.884
2005-02-23,-2036.538
2005-02-24,6844.618
2005-02-25,15778.942
2005-03-01,13787.776
2005-03-02,8405.591
2005-03-03,-1665.872
2005-03-04,880.347
2005-03-07,3993.979
2005-03-08,5018.739
2005-03-09,631.175
2005-03-10,-1302.426
2005-03-11,472.644
2005-03-14,-2444.678
2005-03-15,-3375.682
2005-03-16,-5548.441
2005-03-17,-12146.976
2005-03-18,-4810.791
2005-03-21,-3759.552
2005-03-22,-4450.477
2005-03-23,-9273.909
2005-03-24,-5160.269
2005-03-25,-1758.618
2005-03-28,-404.304
2005-03-29,-2558.851
2005-03-30,-3689.966
2005-03-31,-554.672
2005-04-01,1834.602
2005-04-04,132.043
2005-04-06,-475.045
2005-04-07,332.039
2005-04-08,1339.509
2005-04-11,615.444
2005-04-12,-589.500
2005-04-13,-1422.012
2005-04-14,-3347.297
2005-04-15,-7993.487
2005-04-18,-7662.483
2005-04-19,-3964.599
2005-04-20,-79.685
2005-04-21,-9695.206
2005-04-22,-1340.649
2005-04-25,1225.113
2005-04-26,1937.186
2005-04-27,1650.908
2005-04-28,2696.208
2005-04-29,97.820
2005-05-03,5624.873
2005-05-04,5420.440
2005-05-05,10642.851
2005-05-06,9368.722
2005-05-09,7590.939
2005-05-10,5000.189
2005-05-11,-231.415
2005-05-12,3887.407
2005-05-13,9157.907
2005-05-16,7568.625
2005-05-17,5253.135
2005-05-18,3955.752
2005-05-19,11062.698
2005-05-20,1999.038
2005-05-23,-314.906
2005-05-24,4773.504
2005-05-25,4492.589
2005-05-26,4712.696
2005-05-27,8529.615
2005-05-30,7560.761
2005-05-31,10516.874
2005-06-01,-856.401
2005-06-02,4673.791
2005-06-03,7644.143
2005-06-06,1869.962
2005-06-07,1243.196
2005-06-08,6758.454
2005-06-09,5677.492
2005-06-10,7273.926
2005-06-13,5783.457
2005-06-14,9348.349
2005-06-15,9188.175
2005-06-16,9491.705
2005-06-17,13360.931
2005-06-20,5240.109
2005-06-21,3744.134
