date,value
2002-01-03,11.014
2002-01-04,12.332
2002-01-07,13.309
2002-01-08,13.675
2002-01-09,13.575
2002-01-10,14.716
2002-01-11,14.042
2002-01-14,13.483
2002-01-15,14.643
2002-01-16,11.647
2002-01-17,10.223
2002-01-18,11.252
2002-01-21,13.925
2002-01-22,15.853
2002-01-23,16.766
2002-01-24,18.538
2002-01-25,22.153
2002-01-29,23.590
2002-01-30,21.091
2002-01-31,18.677
2002-02-01,16.325
2002-02-04,12.476
2002-02-05,10.414
2002-02-06,7.149
2002-02-18,0.341
2002-02-19,2.087
2002-02-20,1.142
2002-02-21,0.551
2002-02-22,0.498
2002-02-25,-0.316
2002-02-26,-0.598
2002-02-27,0.663
2002-03-01,1.021
2002-03-04,1.641
2002-03-05,1.539
2002-03-06,2.531
2002-03-07,2.516
2002-03-08,2.445
2002-03-11,4.346
2002-03-12,3.541
2002-03-13,2.220
2002-03-14,2.891
2002-03-15,0.976
2002-03-18,-1.536
2002-03-19,-2.486
2002-03-20,-2.103
2002-03-21,-1.723
2002-03-22,-0.849
2002-03-25,-2.207
2002-03-26,-3.228
2002-03-27,-5.553
2002-03-28,-4.815
2002-03-29,-4.764
2002-04-01,-4.225
2002-04-02,-2.533
2002-04-03,0.580
2002-04-04,1.210
2002-04-08,0.924
2002-04-09,1.057
2002-04-10,1.805
2002-04-11,2.345
2002-04-12,2.757
2002-04-15,3.140
2002-04-16,4.812
2002-04-17,5.107
2002-04-18,6.039
2002-04-19,7.507
2002-04-22,7.401
2002-04-23,7.029
2002-04-24,7.167
2002-04-25,8.651
2002-04-26,8.557
2002-04-29,8.577
2002-04-30,9.125
2002-05-02,8.743
2002-05-03,8.186
2002-05-06,7.680
2002-05-07,7.190
2002-05-08,9.057
2002-05-09,9.767
2002-05-10,11.778
2002-05-13,12.748
2002-05-14,13.125
2002-05-15,14.110
2002-05-16,14.545
2002-05-17,14.772
2002-05-20,13.057
2002-05-21,13.681
2002-05-22,13.923
2002-05-23,13.033
2002-05-24,13.257
2002-05-27,13.518
2002-05-28,15.206
2002-05-29,15.471
2002-05-30,17.522
2002-05-31,17.584
2002-06-03,17.240
2002-06-04,18.889
2002-06-05,19.494
2002-06-06,18.659
2002-06-07,17.410
2002-06-10,16.751
2002-06-11,16.019
2002-06-12,16.082
2002-06-13,16.489
2002-06-14,17.639
2002-06-17,17.389
2002-06-18,17.664
2002-06-19,17.025
2002-06-20,17.645
2002-06-21,17.920
2002-06-24,17.517
2002-06-25,14.934
2002-06-26,13.110
2002-06-27,11.522
2002-06-28,10.461
2002-07-01,7.430
2002-07-02,5.401
2002-07-03,4.840
2002-07-04,5.435
2002-07-05,6.783
2002-07-08,7.154
2002-07-09,8.713
2002-07-10,10.639
2002-07-11,13.318
2002-07-12,14.997
2002-07-15,17.037
2002-07-16,21.307
2002-07-17,22.347
2002-07-18,26.001
2002-07-19,24.138
2002-07-22,29.463
2002-07-23,32.514
2002-07-24,36.801
2002-07-25,41.464
2002-07-26,39.455
2002-07-29,41.090
2002-07-30,41.480
2002-07-31,42.661
2002-08-01,42.910
2002-08-02,41.914
2002-08-05,39.426
2002-08-06,36.833
2002-08-07,36.373
2002-08-08,35.335
2002-08-09,35.211
2002-08-12,35.387
2002-08-13,35.072
2002-08-14,35.577
2002-08-15,36.007
2002-08-16,35.553
2002-08-19,34.664
2002-08-20,34.620
2002-08-21,34.774
2002-08-22,35.698
