date,value
2001-01-03,189.486
2001-01-04,188.986
2001-01-05,190.599
2001-01-08,191.334
2001-01-09,195.662
2001-01-10,196.185
2001-01-11,197.723
2001-01-12,197.614
2001-01-15,196.131
2001-01-16,199.849
2001-01-17,201.823
2001-01-18,200.376
2001-01-29,199.197
2001-01-30,205.327
2001-01-31,209.254
2001-02-01,212.645
2001-02-02,219.138
2001-02-05,221.942
2001-02-06,224.731
2001-02-07,225.522
2001-02-08,227.172
2001-02-09,228.151
2001-02-12,230.210
2001-02-13,234.068
2001-02-14,236.173
2001-02-15,241.668
2001-02-16,241.678
2001-02-19,239.586
2001-02-20,240.641
2001-02-21,241.485
2001-02-22,239.047
2001-02-23,238.331
2001-02-26,238.004
2001-02-27,237.694
2001-03-01,236.506
2001-03-02,236.746
2001-03-05,237.215
2001-03-06,238.628
2001-03-07,240.475
2001-03-08,242.290
2001-03-09,242.029
2001-03-12,242.620
2001-03-13,245.413
2001-03-14,245.296
2001-03-15,249.611
2001-03-16,254.246
2001-03-19,253.469
2001-03-20,253.627
2001-03-21,254.127
2001-03-22,256.183
2001-03-23,260.561
2001-03-26,264.154
2001-03-27,267.924
2001-03-28,268.783
2001-03-29,269.655
2001-03-30,268.519
2001-04-02,265.472
2001-04-03,262.531
2001-04-04,262.164
2001-04-06,262.258
2001-04-09,260.423
2001-04-10,259.049
2001-04-11,258.262
2001-04-12,259.447
2001-04-13,259.154
2001-04-16,256.899
2001-04-17,256.220
2001-04-18,256.079
2001-04-19,255.868
2001-04-20,256.231
2001-04-23,255.912
2001-04-24,256.820
2001-04-25,255.540
2001-04-26,255.235
2001-04-27,254.137
2001-04-30,249.788
2001-05-02,245.026
2001-05-03,243.911
2001-05-04,239.451
2001-05-07,237.019
2001-05-08,231.580
2001-05-09,230.356
2001-05-10,226.006
2001-05-11,223.225
2001-05-14,221.613
2001-05-15,219.270
2001-05-16,217.577
2001-05-17,216.856
2001-05-18,214.950
2001-05-21,208.572
2001-05-22,205.481
2001-05-23,206.044
2001-05-24,207.010
2001-05-25,206.439
2001-05-28,204.687
2001-05-29,203.986
2001-05-30,203.382
2001-05-31,203.273
2001-06-01,201.515
2001-06-04,199.319
2001-06-05,199.217
2001-06-06,201.157
2001-06-07,202.685
2001-06-08,204.072
2001-06-11,203.552
2001-06-12,202.931
2001-06-13,203.281
2001-06-14,201.221
2001-06-15,201.605
2001-06-18,200.359
2001-06-19,199.856
2001-06-20,199.293
2001-06-21,199.007
2001-06-22,196.969
2001-06-26,193.726
2001-06-27,191.973
2001-06-28,191.213
2001-06-29,191.068
2001-07-02,190.025
2001-07-03,188.616
2001-07-04,186.053
2001-07-05,183.724
2001-07-06,182.696
2001-07-09,180.972
2001-07-10,178.085
2001-07-11,174.443
2001-07-12,173.183
2001-07-13,170.104
2001-07-16,164.589
2001-07-17,162.847
2001-07-18,159.277
2001-07-19,156.265
2001-07-20,154.619
2001-07-23,152.022
2001-07-24,147.449
2001-07-25,144.351
2001-07-26,143.714
2001-07-27,142.785
2001-07-31,141.596
2001-08-01,141.866
2001-08-02,142.659
2001-08-03,142.015
2001-08-06,142.302
2001-08-07,142.472
2001-08-08,143.102
2001-08-09,143.775
2001-08-10,143.469
2001-08-13,143.903
2001-08-14,144.449
2001-08-15,144.354
2001-08-16,145.569
2001-08-17,146.282
2001-08-20,146.117
2001-08-21,146.381
2001-08-22,146.111
2001-08-23,145.891
2001-08-24,144.149
2001-08-27,143.635
2001-08-28,143.575
2001-08-29,144.913
2001-08-30,145.741
2001-08-31,145.779
2001-09-03,145.793
2001-09-04,145.138
2001-09-05,145.566
2001-09-06,143.424
2001-09-07,141.422
2001-09-10,139.685
2001-09-11,136.312
2001-09-13,132.671
2001-09-14,125.026
2001-09-19,123.182
