date,value
2013-01-31,37.08
2013-02-28,21.50
2013-03-31,18.91
2013-04-30,23.50
2013-05-31,17.23
2013-06-30,24.30
2013-07-31,7.28
2013-08-31,11.21
2013-09-30,27.63
2013-10-31,3.60
2013-11-30,0.08
2013-12-31,33.72
2014-01-31,8.41
2014-02-28,13.71
2014-03-31,13.19
2014-04-30,23.60
2014-05-31,17.38
2014-06-30,11.69
2014-07-31,24.61
2014-08-31,25.75
2014-09-30,35.14
2014-10-31,55.88
2014-11-30,63.04
2014-12-31,39.91
2015-01-31,69.40
2015-02-28,33.77
2015-03-31,44.66
2015-04-30,21.72
2015-05-31,15.41
2015-06-30,-0.64
2015-07-31,24.69
2015-08-31,-3.23
2015-09-30,-13.80
2015-10-31,1.25
2015-11-30,-12.24
2015-12-31,-16.06
2016-01-31,-18.67
2016-02-29,-4.94
2016-03-31,1.13
2016-04-30,-11.27
2016-05-31,4.88
2016-06-30,35.75
2016-07-31,-5.63
2016-08-31,40.68
2016-09-30,39.04
2016-10-31,11.43
2016-11-30,46.67
2016-12-31,33.87
2017-01-31,8.13
2017-02-28,19.94
2017-03-31,17.49
2017-04-30,-14.92
2017-05-31,-1.06
2017-06-30,3.44
2017-07-31,-6.26
2017-08-31,-2.54
2017-09-30,-1.25
2017-10-31,3.77
2017-11-30,0.13
2017-12-31,15.09
2018-01-31,4.08
2018-02-28,-9.50
2018-03-31,20.75
2018-04-30,43.95
2018-05-31,11.23
2018-06-30,-16.33
2018-07-31,3.85
2018-08-31,-0.94
2018-09-30,7.16
2018-10-31,7.44
2018-11-30,5.62
2018-12-31,-0.07
2019-01-31,-2.07
2019-02-28,-5.80
2019-03-31,-23.12
2019-04-30,-8.77
2019-05-31,-0.66
2019-06-30,21.91
2019-07-31,13.97
2019-08-31,16.54
2019-09-30,7.64
2019-10-31,4.42
2019-11-30,9.65
2019-12-31,15.01
2020-01-31,32.77
2020-02-29,53.38
2020-03-31,42.40
2020-04-30,28.53
2020-05-31,16.64
2020-06-30,40.77
2020-07-31,25.02
2020-08-31,15.79
2020-09-30,24.87
2020-10-31,12.51
2020-11-30,15.74
2020-12-31,13.60
2021-01-31,22.25
2021-02-28,14.07
2021-03-31,13.75
2021-04-30,15.95
2021-05-31,19.76
2021-06-30,22.83
2021-07-31,17.55
2021-08-31,11.84
2021-09-30,19.67
2021-10-31,12.77
2021-11-30,18.74
2021-12-31,32.39
2022-01-31,35.84
2022-02-28,37.92
2022-03-31,33.18
2022-04-30,55.02
2022-05-31,65.28
2022-06-30,18.46
2022-07-31,49.94
2022-08-31,58.73
2022-09-30,36.39
2022-10-31,56.29
2022-11-30,50.21
2022-12-31,23.93
2023-01-31,16.19
2023-02-28,11.05
2023-03-31,-15.44
2023-04-30,-14.29
2023-05-31,-4.94
2023-06-30,-11.07
2023-07-31,-4.90
2023-08-31,-13.50
2023-09-30,-13.36
2023-10-31,15.66
2023-11-30,-7.49
2023-12-31,-8.44
2024-01-31,7.87
2024-02-29,11.32
2024-03-31,34.25
2024-04-30,59.58
2024-05-31,30.07
2024-06-30,32.90
2024-07-31,44.67
2024-08-31,32.95
2024-09-30,39.60
2024-10-31,29.21
2024-11-30,33.99
2024-12-31,57.78
2025-01-31,35.92
2025-02-28,43.14
2025-03-31,46.49
2025-04-30,48.11
2025-05-31,39.59
2025-06-30,26.86
2025-07-31,25.77
2025-08-31,33.84
2025-09-30,31.41
2025-10-31,16.94
2025-11-30,24.47
2025-12-31,20.43
2026-01-31,36.81
2026-02-28,22.17
2026-03-31,45.19
2026-04-30,17.50
2026-05-31,30.09
2026-06-30,67.87
