date,value
1961-06-14,0.089742
1961-06-15,0.134565
1961-06-16,0.138050
1961-06-19,0.153621
1961-06-20,0.134299
1961-06-21,0.142746
1961-06-22,0.138935
1961-06-23,0.149304
1961-06-26,0.155406
1961-06-27,0.173495
1961-06-28,0.171112
1961-06-29,0.182620
1961-06-30,0.165684
1961-07-03,0.165070
1961-07-05,0.212452
1961-07-06,0.215551
1961-07-07,0.222269
1961-07-10,0.224649
1961-07-11,0.235383
1961-07-12,0.260570
1961-07-13,0.251871
1961-07-14,0.301620
1961-07-17,0.282477
1961-07-18,0.284103
1961-07-19,0.275654
1961-07-20,0.255822
1961-07-21,0.274973
1961-07-24,0.272526
1961-07-25,0.294914
1961-07-26,0.274382
1961-07-27,0.327864
1961-07-28,0.328682
1961-07-31,0.411397
1961-08-01,0.352214
1961-08-02,0.335562
1961-08-03,0.380814
1961-08-04,0.375848
1961-08-07,0.430472
1961-08-08,0.438101
1961-08-09,0.419450
1961-08-10,0.400961
1961-08-11,0.361894
1961-08-14,0.350802
1961-08-15,0.346613
1961-08-16,0.328420
1961-08-17,0.295955
1961-08-18,0.247427
1961-08-21,0.232363
1961-08-22,0.231479
1961-08-23,0.240032
1961-08-24,0.259553
1961-08-25,0.264475
1961-08-28,0.263067
1961-08-29,0.264719
1961-08-30,0.268428
1961-08-31,0.301050
1961-09-01,0.289944
1961-09-05,0.287217
1961-09-06,0.278334
1961-09-07,0.273056
1961-09-08,0.279011
1961-09-11,0.266144
1961-09-12,0.266544
1961-09-13,0.253490
1961-09-14,0.248584
1961-09-15,0.242965
1961-09-18,0.244324
1961-09-19,0.226493
1961-09-20,0.215713
1961-09-21,0.187976
1961-09-22,0.187576
1961-09-25,0.179066
1961-09-26,0.139825
1961-09-27,0.149514
1961-09-28,0.153871
1961-09-29,0.205600
1961-10-02,0.198379
1961-10-03,0.201425
1961-10-04,0.153254
1961-10-05,0.141909
1961-10-06,0.156040
1961-10-09,0.102647
1961-10-10,0.017271
1961-10-11,0.053928
1961-10-13,0.035344
1961-10-16,0.026203
1961-10-17,-0.014757
1961-10-18,-0.021160
1961-10-19,-0.014800
1961-10-20,-0.037451
1961-10-23,-0.052481
1961-10-24,-0.074437
1961-10-25,-0.128646
1961-10-26,-0.067875
1961-10-27,0.084509
1961-10-30,0.073880
1961-10-31,0.304188
1961-11-01,0.130900
1961-11-02,0.083550
1961-11-03,0.079882
1961-11-06,0.132560
1961-11-08,0.201760
1961-11-09,0.037032
1961-11-10,-0.049299
1961-11-13,-0.039177
1961-11-14,-0.188588
1961-11-15,-0.040325
1961-11-16,-0.065922
1961-11-17,-0.040545
1961-11-20,-0.112608
1961-11-21,-0.157427
1961-11-22,-0.232356
1961-11-24,-0.230480
1961-11-27,-0.332156
1961-11-28,-0.305376
1961-11-29,-0.353914
1961-11-30,0.083431
1961-12-01,-0.222247
1961-12-04,-0.394812
1961-12-05,-0.385839
1961-12-06,-0.339122
1961-12-07,-0.359324
1961-12-08,-0.324532
1961-12-11,-0.351504
1961-12-12,-0.471200
1961-12-13,-0.370126
1961-12-14,-0.295208
1961-12-15,-0.240689
1961-12-18,-0.253423
1961-12-19,-0.224017
1961-12-20,-0.312440
1961-12-21,-0.318949
1961-12-22,-0.170280
1961-12-26,-0.132681
1961-12-27,-0.128426
1961-12-28,-0.347619
1961-12-29,-0.132313
1962-01-02,-0.480631
1962-01-03,-0.527789
1962-01-04,-0.579506
1962-01-05,-0.496912
1962-01-08,-0.284702
1962-01-09,-0.361169
1962-01-10,-0.325685
1962-01-11,-0.340663
1962-01-12,-0.124324
1962-01-15,-0.085036
1962-01-16,-0.036555
1962-01-17,-0.047853
1962-01-18,-0.019625
1962-01-19,0.022056
1962-01-22,0.050134
1962-01-23,0.037054
1962-01-24,0.040405
1962-01-25,0.061811
1962-01-26,0.114144
1962-01-29,0.156483
1962-01-30,0.161793
1962-01-31,0.166076
1962-02-01,0.183362
1962-02-02,0.226640
1962-02-05,0.180399
1962-02-06,0.178193
1962-02-07,0.169551
1962-02-08,0.133570
1962-02-09,0.137170
1962-02-13,0.103078
1962-02-14,0.083100
1962-02-15,0.122070
1962-02-16,0.131579
1962-02-19,0.108395
1962-02-20,0.100802
1962-02-21,0.106995
1962-02-23,0.099402
1962-02-26,0.117520
1962-02-27,0.108023
1962-02-28,0.162687
1962-03-01,0.399989
1962-03-02,0.341051
1962-03-05,0.254053
1962-03-06,0.281473
1962-03-07,0.289016
1962-03-08,0.285325
1962-03-09,0.230850
1962-03-12,0.226400
1962-03-13,0.192785
1962-03-14,0.224843
1962-03-15,0.254824
1962-03-16,0.299978
1962-03-19,0.315339
1962-03-20,0.292714
1962-03-21,0.240000
1962-03-22,0.338063
1962-03-23,0.323964
1962-03-26,0.282318
1962-03-27,0.265082
1962-03-28,0.272611
1962-03-29,0.312111
1962-03-30,0.294822
1962-04-02,0.274999
1962-04-03,0.268043
1962-04-04,0.305286
1962-04-05,0.317932
1962-04-06,0.315207
1962-04-09,0.321109
1962-04-10,0.278041
1962-04-11,0.255224
1962-04-12,0.277274
1962-04-13,0.294800
1962-04-16,0.274817
1962-04-17,0.244207
1962-04-18,0.276324
1962-04-19,0.258155
1962-04-23,0.264843
1962-04-24,0.236629
1962-04-25,0.237380
1962-04-26,0.256567
1962-04-27,0.133209
1962-04-30,0.070551
1962-05-01,0.070361
1962-05-02,0.116533
1962-05-03,0.144030
1962-05-04,0.151860
1962-05-07,0.156318
1962-05-08,0.151031
1962-05-09,0.121975
1962-05-10,0.138271
1962-05-11,0.165844
1962-05-14,0.183855
1962-05-15,0.257745
1962-05-16,0.256064
1962-05-17,0.291117
1962-05-18,0.319016
1962-05-21,0.326898
1962-05-22,0.320553
1962-05-23,0.323554
1962-05-24,0.303049
1962-05-25,0.308125
1962-05-28,0.316787
1962-05-29,0.343386
1962-05-31,0.360279
1962-06-01,0.363834
1962-06-04,0.368003
1962-06-05,0.389496
1962-06-06,0.384643
1962-06-07,0.377265
1962-06-08,0.379440
1962-06-11,0.366845
1962-06-12,0.398729
1962-06-13,0.403330
1962-06-14,0.508913
1962-06-15,0.481318
1962-06-18,0.492764
1962-06-19,0.469783
1962-06-20,0.464347
1962-06-21,0.476036
1962-06-22,0.389162
1962-06-25,0.353785
1962-06-26,0.230991
1962-06-27,0.300588
1962-06-28,0.257958
1962-06-29,0.241310
1962-07-02,0.184562
1962-07-03,0.154283
1962-07-05,0.148453
1962-07-06,0.159525
1962-07-09,0.162464
1962-07-10,0.131226
1962-07-11,0.186178
1962-07-12,0.190244
1962-07-13,0.191079
1962-07-16,0.231090
1962-07-17,0.203296
1962-07-18,0.213568
1962-07-19,0.257219
1962-07-20,0.270945
1962-07-23,0.284160
1962-07-24,0.289085
1962-07-25,0.285700
1962-07-26,0.273909
1962-07-27,0.258714
1962-07-30,0.286847
1962-07-31,0.305734
1962-08-01,0.326977
1962-08-02,0.378088
1962-08-03,0.386550
1962-08-06,0.413666
1962-08-07,0.396568
1962-08-08,0.403254
1962-08-09,0.376580
1962-08-10,0.382363
1962-08-13,0.399065
1962-08-14,0.408349
1962-08-15,0.422634
1962-08-16,0.443876
1962-08-17,0.465822
1962-08-20,0.464655
1962-08-21,0.448335
1962-08-22,0.446475
1962-08-23,0.468928
1962-08-24,0.473585
1962-08-27,0.489138
1962-08-28,0.476604
1962-08-29,0.486494
1962-08-30,0.480735
1962-08-31,0.421113
1962-09-04,0.391809
1962-09-05,0.408936
1962-09-06,0.463748
1962-09-07,0.447306
1962-09-10,0.424525
1962-09-11,0.405676
1962-09-12,0.445951
1962-09-13,0.434300
1962-09-14,0.393243
1962-09-17,0.416204
1962-09-18,0.404297
1962-09-19,0.412403
1962-09-20,0.415497
1962-09-21,0.447205
1962-09-24,0.434823
1962-09-25,0.460314
1962-09-26,0.447336
1962-09-27,0.446006
1962-09-28,0.467200
1962-10-01,0.468471
1962-10-02,0.490945
1962-10-03,0.508597
1962-10-04,0.528269
1962-10-05,0.541313
1962-10-08,0.535296
1962-10-09,0.540623
1962-10-10,0.575206
1962-10-11,0.561086
1962-10-15,0.556461
1962-10-16,0.552410
1962-10-17,0.537434
1962-10-18,0.514566
1962-10-19,0.477958
1962-10-22,0.462724
1962-10-23,0.497869
1962-10-24,0.509304
1962-10-25,0.508099
1962-10-26,0.456646
1962-10-29,0.467606
1962-10-30,0.482236
1962-10-31,0.477612
1962-11-01,0.441668
1962-11-02,0.410641
1962-11-05,0.421236
1962-11-07,0.411561
1962-11-08,0.434615
1962-11-09,0.422056
1962-11-13,0.418460
1962-11-14,0.364015
1962-11-15,0.476851
1962-11-16,0.469629
1962-11-19,0.455174
1962-11-20,0.449002
1962-11-21,0.458410
1962-11-23,0.474374
1962-11-26,0.473995
1962-11-27,0.478008
1962-11-28,0.349151
1962-11-29,0.350447
1962-11-30,0.400038
1962-12-03,0.335987
1962-12-04,0.311082
1962-12-05,0.428940
1962-12-06,0.405309
1962-12-07,0.357870
1962-12-10,0.318498
1962-12-11,0.323572
1962-12-12,0.288593
1962-12-13,0.265096
1962-12-14,0.333964
1962-12-17,0.276464
1962-12-18,0.239017
1962-12-19,0.250033
1962-12-20,0.266019
1962-12-21,0.370772
1962-12-24,0.316101
1962-12-26,0.305535
1962-12-27,0.298567
1962-12-28,0.307209
1962-12-31,0.393512
1963-01-02,0.258493
1963-01-03,0.244675
1963-01-04,0.243102
1963-01-07,0.208380
1963-01-08,0.201268
1963-01-09,0.233002
1963-01-10,0.272164
1963-01-11,0.254463
1963-01-14,0.277532
1963-01-15,0.290175
1963-01-16,0.276437
1963-01-17,0.277193
1963-01-18,0.204211
1963-01-21,0.189917
1963-01-22,0.117979
1963-01-23,0.088743
1963-01-24,0.110717
1963-01-25,0.107098
1963-01-28,0.081968
1963-01-29,0.072760
1963-01-30,0.095560
1963-01-31,0.214287
1963-02-01,0.236896
1963-02-04,0.276092
1963-02-05,0.302317
1963-02-06,0.316881
1963-02-07,0.346232
1963-02-08,0.359330
1963-02-11,0.389079
1963-02-13,0.343261
1963-02-14,0.284852
1963-02-15,0.397067
1963-02-18,0.428437
1963-02-19,0.402321
1963-02-20,0.414443
1963-02-21,0.416200
1963-02-25,0.429607
1963-02-26,0.408654
1963-02-27,0.399262
1963-02-28,0.392590
1963-03-01,0.437418
1963-03-04,0.429657
1963-03-05,0.427454
1963-03-06,0.405666
1963-03-07,0.411779
1963-03-08,0.408582
1963-03-11,0.402306
1963-03-12,0.410843
1963-03-13,0.410075
1963-03-14,0.407586
1963-03-15,0.406565
1963-03-18,0.380475
1963-03-19,0.402245
1963-03-20,0.406038
1963-03-21,0.387847
1963-03-22,0.393364
1963-03-25,0.399274
1963-03-26,0.392299
1963-03-27,0.388685
1963-03-28,0.425657
1963-03-29,0.402655
1963-04-01,0.406592
1963-04-02,0.423398
1963-04-03,0.432794
1963-04-04,0.436614
1963-04-05,0.447255
1963-04-08,0.456496
1963-04-09,0.469343
1963-04-10,0.467471
1963-04-11,0.464680
1963-04-15,0.448400
1963-04-16,0.439122
1963-04-17,0.405409
1963-04-18,0.391170
1963-04-19,0.378862
1963-04-22,0.355682
1963-04-23,0.357796
1963-04-24,0.345654
1963-04-25,0.320620
1963-04-26,0.296095
1963-04-29,0.289591
1963-04-30,0.287963
1963-05-01,0.283846
1963-05-02,0.282747
1963-05-03,0.291071
1963-05-06,0.286089
1963-05-07,0.314012
1963-05-08,0.310280
1963-05-09,0.261826
1963-05-10,0.306644
1963-05-13,0.298055
1963-05-14,0.287835
1963-05-15,0.302972
1963-05-16,0.283460
1963-05-17,0.295932
1963-05-20,0.236581
1963-05-21,0.230538
1963-05-22,0.219047
1963-05-23,0.218851
1963-05-24,0.212276
1963-05-27,0.234462
1963-05-28,0.242825
1963-05-29,0.242071
1963-05-31,0.233001
1963-06-03,0.228783
1963-06-04,0.228747
1963-06-05,0.222483
1963-06-06,0.268672
1963-06-07,0.281437
1963-06-10,0.317628
1963-06-11,0.306541
1963-06-12,0.315127
1963-06-13,0.336534
1963-06-14,0.309916
1963-06-17,0.300981
1963-06-18,0.295817
1963-06-19,0.301558
1963-06-20,0.313591
1963-06-21,0.302274
1963-06-24,0.298906
1963-06-25,0.290814
1963-06-26,0.317372
1963-06-27,0.317673
1963-06-28,0.265359
1963-07-01,0.280506
1963-07-02,0.269776
1963-07-03,0.211639
1963-07-05,0.208349
1963-07-08,0.150838
1963-07-09,0.128266
1963-07-10,0.157307
1963-07-11,0.163807
1963-07-12,0.165217
1963-07-15,0.163683
1963-07-16,0.170073
1963-07-17,0.123979
1963-07-18,0.123251
1963-07-19,0.130209
1963-07-22,0.138184
1963-07-23,0.147518
1963-07-24,0.099811
1963-07-25,0.110018
1963-07-26,0.103435
1963-07-29,0.106871
1963-07-30,0.099940
1963-07-31,0.069852
1963-08-01,0.068251
1963-08-02,0.072678
1963-08-05,0.081807
1963-08-06,0.081680
1963-08-07,0.102389
1963-08-08,0.101209
1963-08-09,0.079502
1963-08-12,0.097500
1963-08-13,0.107602
1963-08-14,0.074918
1963-08-15,0.071415
1963-08-16,0.108031
1963-08-19,0.124703
1963-08-20,0.129772
1963-08-21,0.137317
1963-08-22,0.157266
1963-08-23,0.149809
1963-08-26,0.140274
1963-08-27,0.148137
1963-08-28,0.155421
1963-08-29,0.165304
1963-08-30,0.157159
1963-09-03,0.159576
1963-09-04,0.177942
1963-09-05,0.237973
1963-09-06,0.233902
1963-09-09,0.233950
1963-09-10,0.230101
1963-09-11,0.226298
1963-09-12,0.240558
1963-09-13,0.205846
1963-09-16,0.220744
1963-09-17,0.256032
1963-09-18,0.247601
1963-09-19,0.224686
1963-09-20,0.361809
1963-09-23,0.220358
1963-09-24,0.239407
1963-09-25,0.236769
1963-09-26,0.238033
1963-09-27,0.236636
1963-09-30,0.175523
1963-10-01,0.185111
1963-10-02,0.180937
1963-10-03,0.180356
1963-10-04,0.183984
1963-10-07,0.190071
1963-10-08,0.200412
1963-10-09,0.226028
1963-10-10,0.227631
1963-10-11,0.215278
1963-10-14,0.225734
1963-10-15,0.241958
1963-10-16,0.226420
1963-10-17,0.238870
1963-10-18,0.187516
1963-10-21,0.231115
1963-10-22,0.251132
1963-10-23,0.245437
1963-10-24,0.240396
1963-10-25,0.242902
1963-10-28,0.232842
1963-10-29,0.231230
1963-10-30,0.235384
1963-10-31,0.235543
1963-11-01,0.236811
1963-11-04,0.231310
1963-11-06,0.232689
1963-11-07,0.155107
1963-11-08,0.132820
1963-11-12,0.162611
1963-11-13,0.138546
1963-11-14,0.104897
1963-11-15,0.130559
1963-11-18,0.154039
1963-11-19,0.060146
1963-11-20,0.062485
1963-11-21,0.053243
1963-11-22,0.037510
1963-11-26,0.029440
1963-11-27,0.021342
1963-11-29,0.013219
1963-12-02,0.016358
1963-12-03,0.015839
1963-12-04,0.012810
1963-12-05,0.011319
1963-12-06,0.003060
1963-12-09,-0.000660
1963-12-10,0.010537
1963-12-11,0.020610
1963-12-12,0.025195
1963-12-13,0.023323
1963-12-16,0.032640
1963-12-17,0.028239
1963-12-18,0.022456
1963-12-19,0.033018
1963-12-20,0.043984
1963-12-23,0.036750
1963-12-24,0.026655
1963-12-26,0.019801
1963-12-27,0.024383
1963-12-30,0.021207
1963-12-31,0.029825
1964-01-02,0.037692
1964-01-03,0.051312
1964-01-06,0.060316
1964-01-07,0.062389
1964-01-08,0.091173
1964-01-09,0.112892
1964-01-10,0.118147
1964-01-13,0.116608
1964-01-14,0.120001
1964-01-15,0.133991
1964-01-16,0.132189
1964-01-17,0.103175
1964-01-20,0.095388
1964-01-21,0.096923
1964-01-22,0.096464
1964-01-23,0.097732
1964-01-24,0.098939
1964-01-27,0.101916
1964-01-28,0.097853
1964-01-29,0.095799
1964-01-30,0.097427
1964-01-31,0.098298
1964-02-03,0.100623
1964-02-04,0.099041
1964-02-05,0.096792
1964-02-06,0.092071
1964-02-07,0.086243
1964-02-10,0.092602
