date,value
2004-03-24,32.0230
2004-03-25,32.0030
2004-03-26,32.0110
2004-03-29,31.9780
2004-03-30,31.9520
2004-03-31,31.6730
2004-04-01,31.7370
2004-04-02,31.6980
2004-04-05,31.7060
2004-04-06,31.7440
2004-04-07,31.6440
2004-04-08,31.6680
2004-04-13,31.5320
2004-04-14,31.6570
2004-04-15,31.7400
2004-04-16,31.9100
2004-04-19,31.6630
2004-04-20,31.6850
2004-04-21,31.7330
2004-04-22,31.8170
2004-04-23,31.8480
2004-04-26,31.7920
2004-04-27,31.8160
2004-04-28,31.7940
2004-04-29,32.0230
2004-04-30,32.0200
2004-05-03,32.0600
2004-05-04,32.0130
2004-05-05,31.9970
2004-05-06,32.0110
2004-05-07,32.0640
2004-05-10,32.2950
2004-05-11,32.4120
2004-05-12,32.2230
2004-05-13,32.3380
2004-05-14,32.3900
2004-05-17,32.4670
2004-05-18,32.4310
2004-05-19,32.3230
2004-05-21,32.3130
2004-05-24,32.3030
2004-05-25,32.3410
2004-05-26,32.3020
2004-05-27,32.2830
2004-05-28,32.2200
2004-06-01,32.2250
2004-06-02,32.3360
2004-06-03,32.3470
2004-06-04,32.3630
2004-06-07,32.2860
2004-06-08,32.2490
2004-06-09,32.2250
2004-06-10,32.3150
2004-06-11,32.3310
2004-06-14,32.4230
2004-06-15,32.4450
2004-06-16,32.4450
2004-06-17,32.4700
2004-06-18,32.5210
2004-06-21,32.5450
2004-06-22,32.5280
2004-06-23,32.5310
2004-06-24,32.4580
2004-06-25,32.4110
2004-06-28,32.4990
2004-06-29,32.5120
2004-06-30,32.5430
2004-07-01,32.5010
2004-07-02,32.4820
2004-07-05,32.4730
2004-07-06,32.5080
2004-07-07,32.4920
2004-07-08,32.5130
2004-07-09,32.5150
2004-07-12,32.4980
2004-07-13,32.3670
2004-07-14,32.5700
2004-07-15,32.7670
2004-07-16,32.6520
2004-07-19,32.6640
2004-07-20,32.7550
2004-07-21,32.7150
2004-07-22,32.7650
2004-07-23,32.8150
2004-07-26,32.8750
2004-07-27,32.8970
2004-07-28,32.8720
2004-07-29,32.9450
2004-07-30,32.8980
2004-08-02,32.8820
2004-08-03,32.8400
2004-08-04,32.9210
2004-08-05,32.9340
2004-08-06,32.9040
2004-08-09,32.8940
2004-08-10,32.8840
2004-08-11,32.9380
2004-08-12,32.9080
2004-08-13,32.9480
2004-08-16,32.9560
2004-08-17,32.9760
2004-08-18,32.9460
2004-08-19,32.8420
2004-08-20,32.8240
2004-08-23,32.8500
2004-08-24,32.8250
2004-08-25,32.7960
2004-08-26,32.7530
2004-08-27,32.7940
2004-08-30,32.7420
2004-08-31,32.7710
2004-09-01,32.7210
2004-09-02,32.6720
2004-09-03,32.6690
2004-09-06,32.6940
2004-09-07,32.6980
2004-09-08,32.6550
2004-09-09,32.6820
2004-09-10,32.6850
2004-09-13,32.6990
2004-09-14,32.6400
2004-09-15,32.5860
2004-09-16,32.5990
2004-09-17,32.7080
2004-09-20,32.6440
2004-09-21,32.7050
2004-09-22,32.6770
2004-09-23,32.7470
2004-09-24,32.7650
2004-09-27,32.7660
2004-09-28,32.7830
2004-09-29,32.7720
2004-09-30,32.7200
2004-10-01,32.7120
2004-10-04,32.6950
2004-10-05,32.6860
2004-10-06,32.6860
2004-10-07,32.6850
2004-10-08,32.6460
2004-10-11,32.6130
2004-10-12,32.6020
2004-10-13,32.6500
