date,value
2020-07-27,1.093357
2020-07-28,1.077660
2020-07-29,1.086766
2020-07-30,1.086156
2020-07-31,1.092576
2020-08-03,1.094282
2020-08-04,1.088754
2020-08-05,1.103956
2020-08-06,1.108825
2020-08-07,1.105300
2020-08-10,1.111877
2020-08-11,1.118631
2020-08-12,1.118183
2020-08-13,1.118678
2020-08-14,1.118747
2020-08-17,1.126763
2020-08-18,1.129797
2020-08-19,1.133567
2020-08-20,1.134347
2020-08-21,1.137279
2020-08-24,1.144048
2020-08-25,1.150120
2020-08-26,1.160170
2020-08-27,1.147086
2020-08-28,1.144182
2020-08-31,1.144837
2020-09-01,1.156074
2020-09-02,1.150632
2020-09-03,1.132882
2020-09-04,1.123350
2020-09-08,1.131255
2020-09-09,1.136692
2020-09-10,1.133572
2020-09-11,1.129608
2020-09-14,1.133687
2020-09-15,1.144483
2020-09-16,1.144139
2020-09-17,1.135144
2020-09-18,1.130360
2020-09-21,1.126373
2020-09-22,1.143580
2020-09-23,1.141893
2020-09-24,1.132924
2020-09-25,1.141792
2020-09-28,1.152324
2020-09-29,1.150611
2020-09-30,1.145863
2020-10-01,1.154556
2020-10-02,1.156294
2020-10-05,1.163865
2020-10-06,1.150390
2020-10-07,1.164122
2020-10-08,1.163461
2020-10-09,1.165995
2020-10-12,1.168384
2020-10-13,1.169337
2020-10-14,1.162091
2020-10-15,1.165357
2020-10-16,1.157950
2020-10-19,1.156185
2020-10-20,1.167050
2020-10-21,1.158580
2020-10-22,1.162146
2020-10-23,1.169713
2020-10-26,1.162430
2020-10-27,1.165385
2020-10-28,1.162783
2020-10-29,1.170704
2020-10-30,1.147654
2020-11-02,1.138427
2020-11-03,1.144412
2020-11-04,1.168779
2020-11-05,1.181741
2020-11-06,1.173505
2020-11-09,1.172419
2020-11-10,1.144842
2020-11-11,1.145788
2020-11-12,1.133659
2020-11-13,1.135667
2020-11-16,1.140487
2020-11-17,1.144631
2020-11-18,1.152382
2020-11-19,1.153737
2020-11-20,1.155402
2020-11-23,1.167732
2020-11-24,1.177129
2020-11-25,1.178790
2020-11-27,1.181974
2020-11-30,1.174757
2020-12-01,1.174770
2020-12-02,1.175653
2020-12-03,1.175822
2020-12-04,1.168391
2020-12-07,1.170019
